timestamp,message
1598990343330,"2020-09-01 19:59:03,330 senzing-50010180I User-supplied Governor loaded from /opt/senzing/g2/python/senzing_governor.py."
1598990343334,"2020-09-01 19:59:03,334 senzing-50010297I Enter {""config_path"": ""/etc/opt/senzing"", ""configuration_check_frequency_in_seconds"": 60, ""data_source"": ""TEST"", ""debug"": false, ""delay_in_seconds"": 0, ""engine_configuration_json"": null, ""entity_type"": ""TEST"", ""exit_on_empty_queue"": true, ""exit_sleep_time_in_seconds"": 300, ""expiration_warning_in_days"": 30, ""g2_configuration_file"": ""/opt/senzing/g2/python/g2config.json"", ""input_url"": null, ""kafka_bootstrap_server"": ""localhost:9092"", ""kafka_failure_bootstrap_server"": null, ""kafka_failure_topic"": ""senzing-kafka-failure-topic"", ""kafka_group"": ""senzing-kafka-group"", ""kafka_info_bootstrap_server"": null, ""kafka_info_topic"": ""senzing-kafka-info-topic"", ""kafka_topic"": ""senzing-kafka-topic"", ""ld_library_path"": ""/opt/senzing/g2/lib:/opt/senzing/g2/lib/debian:/opt/IBM/db2/clidriver/lib"", ""log_license_period_in_seconds"": 86400, ""monitoring_period_in_seconds"": 60, ""program_updated"": ""2020-08-28"", ""program_version"": ""1.5.7"", ""python_path"": ""/opt/senzing/g2/python"", ""queue_maxsize"": 10, ""rabbitmq_failure_exchange"": ""senzing-rabbitmq-failure-exchange"", ""rabbitmq_failure_host"": null, ""rabbitmq_failure_port"": null, ""rabbitmq_failure_queue"": ""senzing-rabbitmq-failure-queue"", ""rabbitmq_failure_routing_key"": ""senzing.failure"", ""rabbitmq_failure_username"": null, ""rabbitmq_host"": ""localhost:5672"", ""rabbitmq_info_exchange"": ""senzing-rabbitmq-info-exchange"", ""rabbitmq_info_host"": null, ""rabbitmq_info_port"": null, ""rabbitmq_info_queue"": ""senzing-rabbitmq-info-queue"", ""rabbitmq_info_routing_key"": ""senzing.info"", ""rabbitmq_info_username"": null, ""rabbitmq_port"": ""5672"", ""rabbitmq_prefetch_count"": 50, ""rabbitmq_queue"": ""senzing-rabbitmq-queue"", ""rabbitmq_use_existing_entities"": true, ""rabbitmq_username"": ""user"", ""resource_path"": ""/opt/senzing/g2/resources"", ""skip_database_performance_test"": true, ""sleep_time_in_seconds"": 0, ""sqs_failure_queue_url"": null, ""sqs_info_queue_url"": null, ""sqs_queue_url"": ""https://sqs.us-east-1.amazonaws.com/488776654093/mjd-11-sqs-queue"", ""sqs_wait_time_seconds"": 20, ""start_time"": 1598990343.3342533, ""subcommand"": ""sqs"", ""support_path"": ""/opt/senzing/data"", ""threads_per_process"": 8}"
1598990344848,"2020-09-01 19:59:04,847 senzing-50010160I -------------------- LICENSE --------------------"
1598990344848,"2020-09-01 19:59:04,848 senzing-50010161I           Version: 2.1.0 (2020-08-28)"
1598990344848,"2020-09-01 19:59:04,848 senzing-50010162I          Customer: Senzing Internal - 100M"
1598990344848,"2020-09-01 19:59:04,848 senzing-50010163I              Type: DEV"
1598990344848,"2020-09-01 19:59:04,848 senzing-50010164I   Expiration date: 2020-09-20"
1598990344850,"2020-09-01 19:59:04,850 senzing-50010165I   Expiration time: 18 days until expiration"
1598990344850,"2020-09-01 19:59:04,850 senzing-50010203W           WARNING: License will expire soon. Only 18 days left."
1598990344850,"2020-09-01 19:59:04,850 senzing-50010166I           Records: 100000000"
1598990344850,"2020-09-01 19:59:04,850 senzing-50010167I          Contract: Senzing Internal"
1598990344850,"2020-09-01 19:59:04,850 senzing-50010299I -------------------------------------------------"
1598990344860,"2020-09-01 19:59:04,860 senzing-50010123I Total     memory:     16025350144 bytes"
1598990344861,"2020-09-01 19:59:04,860 senzing-50010124I Available memory:     15458652160 bytes"
1598990350624,"2020-09-01 19:59:10,624 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.0 Updated: 2020-08-28"
