"time","inserts_per_minute"
"2020-08-29 18:20:00","4609"
"2020-08-29 18:19:00","60690"
"2020-08-29 18:18:00","59898"
"2020-08-29 18:17:00","60710"
"2020-08-29 18:16:00","59703"
"2020-08-29 18:15:00","61662"
"2020-08-29 18:14:00","60924"
"2020-08-29 18:13:00","59980"
"2020-08-29 18:12:00","60597"
"2020-08-29 18:11:00","60611"
"2020-08-29 18:10:00","56755"
"2020-08-29 18:09:00","60712"
"2020-08-29 18:08:00","60134"
"2020-08-29 18:07:00","60336"
"2020-08-29 18:06:00","60253"
"2020-08-29 18:05:00","60369"
"2020-08-29 18:04:00","60583"
"2020-08-29 18:03:00","60361"
"2020-08-29 18:02:00","55153"
"2020-08-29 18:01:00","42002"
"2020-08-29 18:00:00","61226"
"2020-08-29 17:59:00","60115"
"2020-08-29 17:58:00","59890"
"2020-08-29 17:57:00","59872"
"2020-08-29 17:56:00","60621"
"2020-08-29 17:55:00","60480"
"2020-08-29 17:54:00","60159"
"2020-08-29 17:53:00","60790"
"2020-08-29 17:52:00","58107"
"2020-08-29 17:51:00","60110"
"2020-08-29 17:50:00","60161"
"2020-08-29 17:49:00","59795"
"2020-08-29 17:48:00","59821"
"2020-08-29 17:47:00","60000"
"2020-08-29 17:46:00","59747"
"2020-08-29 17:45:00","59665"
"2020-08-29 17:44:00","59632"
"2020-08-29 17:43:00","59812"
"2020-08-29 17:42:00","59398"
"2020-08-29 17:41:00","60210"
"2020-08-29 17:40:00","60463"
"2020-08-29 17:39:00","59719"
"2020-08-29 17:38:00","60059"
"2020-08-29 17:37:00","59649"
"2020-08-29 17:36:00","59237"
"2020-08-29 17:35:00","59371"
"2020-08-29 17:34:00","60654"
"2020-08-29 17:33:00","43900"
"2020-08-29 17:32:00","56487"
"2020-08-29 17:31:00","59719"
"2020-08-29 17:30:00","59236"
"2020-08-29 17:29:00","59837"
"2020-08-29 17:28:00","59890"
"2020-08-29 17:27:00","59314"
"2020-08-29 17:26:00","59833"
"2020-08-29 17:25:00","59744"
"2020-08-29 17:24:00","59855"
"2020-08-29 17:23:00","59063"
"2020-08-29 17:22:00","59321"
"2020-08-29 17:21:00","59425"
"2020-08-29 17:20:00","59409"
"2020-08-29 17:19:00","60163"
"2020-08-29 17:18:00","59352"
"2020-08-29 17:17:00","58808"
"2020-08-29 17:16:00","59104"
"2020-08-29 17:15:00","58896"
"2020-08-29 17:14:00","58594"
"2020-08-29 17:13:00","58844"
"2020-08-29 17:12:00","58452"
"2020-08-29 17:11:00","58288"
"2020-08-29 17:10:00","57866"
"2020-08-29 17:09:00","58182"
"2020-08-29 17:08:00","70067"
"2020-08-29 17:07:00","96954"
"2020-08-29 17:06:00","97179"
"2020-08-29 17:05:00","96772"
"2020-08-29 17:04:00","96574"
"2020-08-29 17:03:00","96321"
"2020-08-29 17:02:00","97227"
"2020-08-29 17:01:00","67950"
"2020-08-29 17:00:00","542"
"2020-08-29 16:59:00","34605"
"2020-08-29 16:58:00","23343"
"2020-08-29 16:57:00","1461"
"2020-08-29 16:56:00","30"
"2020-08-29 16:54:00","3"
"2020-08-29 16:52:00","295"
"2020-08-29 16:51:00","75"
"2020-08-29 16:50:00","6426"
"2020-08-29 16:49:00","6573"
"2020-08-29 16:48:00","1214"
