"time","inserts_per_minute"
"2020-09-16 17:19:00","54378"
"2020-09-16 17:18:00","88443"
"2020-09-16 17:17:00","96639"
"2020-09-16 17:16:00","96266"
"2020-09-16 17:15:00","96858"
"2020-09-16 17:14:00","95295"
"2020-09-16 17:13:00","95304"
"2020-09-16 17:12:00","95369"
"2020-09-16 17:11:00","94736"
"2020-09-16 17:10:00","97261"
"2020-09-16 17:09:00","97755"
"2020-09-16 17:08:00","97716"
"2020-09-16 17:07:00","97399"
"2020-09-16 17:06:00","97214"
"2020-09-16 17:05:00","96778"
"2020-09-16 17:04:00","97093"
"2020-09-16 17:03:00","97183"
"2020-09-16 17:02:00","97121"
"2020-09-16 17:01:00","97232"
"2020-09-16 17:00:00","97756"
"2020-09-16 16:59:00","97628"
"2020-09-16 16:58:00","97625"
"2020-09-16 16:57:00","97335"
"2020-09-16 16:56:00","96512"
"2020-09-16 16:55:00","95567"
"2020-09-16 16:54:00","95169"
"2020-09-16 16:53:00","95248"
"2020-09-16 16:52:00","96623"
"2020-09-16 16:51:00","97241"
"2020-09-16 16:50:00","96902"
"2020-09-16 16:49:00","97173"
"2020-09-16 16:48:00","96710"
"2020-09-16 16:47:00","95333"
"2020-09-16 16:46:00","94813"
"2020-09-16 16:45:00","91889"
"2020-09-16 16:44:00","91399"
"2020-09-16 16:43:00","90013"
"2020-09-16 16:42:00","88142"
"2020-09-16 16:41:00","87403"
"2020-09-16 16:40:00","86066"
"2020-09-16 16:39:00","83398"
"2020-09-16 16:38:00","51025"
"2020-09-16 16:37:00","36132"
"2020-09-16 16:36:00","37300"
"2020-09-16 16:35:00","9404"
"2020-09-16 16:30:00","28455"
"2020-09-16 16:29:00","38145"
"2020-09-16 16:28:00","34719"
"2020-09-16 16:27:00","34981"
"2020-09-16 16:26:00","42477"
"2020-09-16 16:25:00","37581"
"2020-09-16 16:24:00","34416"
"2020-09-16 16:23:00","32565"
"2020-09-16 16:22:00","32047"
"2020-09-16 16:21:00","31580"
"2020-09-16 16:20:00","28294"
"2020-09-16 16:19:00","30092"
"2020-09-16 16:18:00","34321"
"2020-09-16 16:17:00","36568"
"2020-09-16 16:16:00","35616"
"2020-09-16 16:15:00","36282"
"2020-09-16 16:14:00","35033"
"2020-09-16 16:13:00","35775"
"2020-09-16 16:12:00","30940"
"2020-09-16 16:11:00","37408"
"2020-09-16 16:10:00","28571"
"2020-09-16 16:09:00","19679"
"2020-09-16 16:08:00","15802"
"2020-09-16 16:07:00","11682"
"2020-09-16 16:06:00","10932"
"2020-09-16 16:05:00","5077"
"2020-09-16 16:04:00","7159"
"2020-09-16 16:03:00","11907"
"2020-09-16 16:02:00","11802"
"2020-09-16 16:01:00","11812"
"2020-09-16 16:00:00","11825"
"2020-09-16 15:59:00","11707"
"2020-09-16 15:58:00","9771"
"2020-09-16 15:57:00","10927"
"2020-09-16 15:56:00","4702"
"2020-09-16 15:55:00","2708"
"2020-09-16 15:54:00","3640"
"2020-09-16 15:53:00","3167"
"2020-09-16 15:52:00","3877"
"2020-09-16 15:51:00","4261"
"2020-09-16 15:50:00","2719"
"2020-09-16 15:49:00","4647"
"2020-09-16 15:48:00","2535"
"2020-09-16 15:47:00","1704"
"2020-09-16 15:46:00","1721"
"2020-09-16 15:45:00","1692"
"2020-09-16 15:44:00","1714"
"2020-09-16 15:43:00","1716"
"2020-09-16 15:42:00","1684"
"2020-09-16 15:41:00","1716"
"2020-09-16 15:40:00","1717"
"2020-09-16 15:39:00","1766"
"2020-09-16 15:38:00","1743"
"2020-09-16 15:37:00","1772"
"2020-09-16 15:36:00","1735"
"2020-09-16 15:35:00","1722"
"2020-09-16 15:34:00","1792"
"2020-09-16 15:33:00","1760"
"2020-09-16 15:32:00","1751"
"2020-09-16 15:31:00","1791"
"2020-09-16 15:30:00","1745"
"2020-09-16 15:29:00","1750"
"2020-09-16 15:28:00","1739"
"2020-09-16 15:27:00","1792"
"2020-09-16 15:26:00","1752"
"2020-09-16 15:25:00","1714"
"2020-09-16 15:24:00","1575"
"2020-09-16 15:23:00","487"
"2020-09-15 19:44:00","1097"
"2020-09-15 19:39:00","361"
"2020-09-15 19:38:00","4813"
"2020-09-15 19:37:00","4158"
"2020-09-15 19:32:00","701"
"2020-09-15 19:31:00","4566"
"2020-09-15 19:30:00","4494"
"2020-09-15 19:29:00","1732"
"2020-09-15 19:24:00","3050"
"2020-09-15 19:23:00","4578"
"2020-09-15 19:18:00","277"
"2020-09-15 19:17:00","4814"
"2020-09-15 19:16:00","4565"
"2020-09-15 19:11:00","242"
"2020-09-15 19:10:00","3835"
"2020-09-15 19:09:00","2787"
"2020-09-15 19:08:00","308"
"2020-09-15 19:03:00","3860"
"2020-09-15 19:02:00","3934"
"2020-09-15 19:01:00","2751"
"2020-09-15 19:00:00","4997"
"2020-09-15 18:59:00","1947"
"2020-09-15 18:58:00","1976"
"2020-09-15 18:57:00","1991"
"2020-09-15 18:56:00","1888"
"2020-09-15 18:55:00","1951"
"2020-09-15 18:54:00","1904"
"2020-09-15 18:53:00","323"
