"time","inserts_per_minute"
"2020-09-17 16:31:00","5955"
"2020-09-17 16:30:00","100636"
"2020-09-17 16:29:00","101426"
"2020-09-17 16:28:00","101559"
"2020-09-17 16:27:00","101540"
"2020-09-17 16:26:00","101328"
"2020-09-17 16:25:00","101552"
"2020-09-17 16:24:00","101783"
"2020-09-17 16:23:00","101773"
"2020-09-17 16:22:00","101545"
"2020-09-17 16:21:00","100854"
"2020-09-17 16:20:00","101475"
"2020-09-17 16:19:00","101614"
"2020-09-17 16:18:00","99025"
"2020-09-17 16:17:00","100712"
"2020-09-17 16:16:00","101156"
"2020-09-17 16:15:00","100975"
"2020-09-17 16:14:00","100203"
"2020-09-17 16:13:00","100641"
"2020-09-17 16:12:00","100178"
"2020-09-17 16:11:00","102892"
"2020-09-17 16:10:00","103278"
"2020-09-17 16:09:00","103244"
"2020-09-17 16:08:00","103365"
"2020-09-17 16:07:00","103327"
"2020-09-17 16:06:00","103226"
"2020-09-17 16:05:00","102799"
"2020-09-17 16:04:00","103685"
"2020-09-17 16:03:00","102989"
"2020-09-17 16:02:00","102637"
"2020-09-17 16:01:00","102852"
"2020-09-17 16:00:00","102918"
"2020-09-17 15:59:00","101324"
"2020-09-17 15:58:00","102039"
"2020-09-17 15:57:00","102786"
"2020-09-17 15:56:00","102630"
"2020-09-17 15:55:00","101901"
"2020-09-17 15:54:00","102316"
"2020-09-17 15:53:00","103991"
"2020-09-17 15:52:00","104714"
"2020-09-17 15:51:00","104414"
"2020-09-17 15:50:00","104403"
"2020-09-17 15:49:00","104588"
"2020-09-17 15:48:00","104455"
"2020-09-17 15:47:00","104355"
"2020-09-17 15:46:00","104531"
"2020-09-17 15:45:00","104791"
"2020-09-17 15:44:00","103899"
"2020-09-17 15:43:00","104516"
"2020-09-17 15:42:00","103549"
"2020-09-17 15:41:00","104160"
"2020-09-17 15:40:00","103566"
"2020-09-17 15:39:00","101625"
"2020-09-17 15:38:00","102907"
"2020-09-17 15:37:00","102070"
"2020-09-17 15:36:00","102021"
"2020-09-17 15:35:00","104037"
"2020-09-17 15:34:00","103529"
"2020-09-17 15:33:00","101168"
"2020-09-17 15:32:00","98041"
"2020-09-17 15:31:00","97287"
"2020-09-17 15:30:00","95598"
"2020-09-17 15:29:00","95189"
"2020-09-17 15:28:00","95026"
"2020-09-17 15:27:00","94199"
"2020-09-17 15:26:00","93821"
"2020-09-17 15:25:00","92074"
"2020-09-17 15:24:00","85592"
"2020-09-17 15:23:00","78797"
"2020-09-17 15:22:00","72339"
"2020-09-17 15:21:00","71104"
"2020-09-17 15:20:00","69400"
"2020-09-17 15:19:00","68141"
"2020-09-17 15:18:00","67230"
"2020-09-17 15:17:00","67342"
"2020-09-17 15:16:00","67194"
"2020-09-17 15:15:00","66309"
"2020-09-17 15:14:00","65007"
"2020-09-17 15:13:00","65681"
"2020-09-17 15:12:00","66175"
"2020-09-17 15:11:00","60319"
"2020-09-17 15:10:00","64144"
