"time","inserts_per_minute"
"2020-09-22 02:16:00","38742"
"2020-09-22 02:15:00","102406"
"2020-09-22 02:14:00","102709"
"2020-09-22 02:13:00","102795"
"2020-09-22 02:12:00","102390"
"2020-09-22 02:11:00","102078"
"2020-09-22 02:10:00","103465"
"2020-09-22 02:09:00","103637"
"2020-09-22 02:08:00","103424"
"2020-09-22 02:07:00","102779"
"2020-09-22 02:06:00","102205"
"2020-09-22 02:05:00","102981"
"2020-09-22 02:04:00","99900"
"2020-09-22 02:03:00","102260"
"2020-09-22 02:02:00","102369"
"2020-09-22 02:01:00","101738"
"2020-09-22 02:00:00","101630"
"2020-09-22 01:59:00","101892"
"2020-09-22 01:58:00","102185"
"2020-09-22 01:57:00","103083"
"2020-09-22 01:56:00","104323"
"2020-09-22 01:55:00","104324"
"2020-09-22 01:54:00","104577"
"2020-09-22 01:53:00","103973"
"2020-09-22 01:52:00","104316"
"2020-09-22 01:51:00","104885"
"2020-09-22 01:50:00","105058"
"2020-09-22 01:49:00","105153"
"2020-09-22 01:48:00","104773"
"2020-09-22 01:47:00","104406"
"2020-09-22 01:46:00","104964"
"2020-09-22 01:45:00","104524"
"2020-09-22 01:44:00","102165"
"2020-09-22 01:43:00","103286"
"2020-09-22 01:42:00","103123"
"2020-09-22 01:41:00","102879"
"2020-09-22 01:40:00","103508"
"2020-09-22 01:39:00","104818"
"2020-09-22 01:38:00","105860"
"2020-09-22 01:37:00","106327"
"2020-09-22 01:36:00","106249"
"2020-09-22 01:35:00","105573"
"2020-09-22 01:34:00","106165"
"2020-09-22 01:33:00","106249"
"2020-09-22 01:32:00","106318"
"2020-09-22 01:31:00","106805"
"2020-09-22 01:30:00","106441"
"2020-09-22 01:29:00","106106"
"2020-09-22 01:28:00","106666"
"2020-09-22 01:27:00","105712"
"2020-09-22 01:26:00","106228"
"2020-09-22 01:25:00","102780"
"2020-09-22 01:24:00","101197"
"2020-09-22 01:23:00","97773"
"2020-09-22 01:22:00","97525"
"2020-09-22 01:21:00","98500"
"2020-09-22 01:20:00","98757"
"2020-09-22 01:19:00","98978"
"2020-09-22 01:18:00","97982"
"2020-09-22 01:17:00","97092"
"2020-09-22 01:16:00","97226"
"2020-09-22 01:15:00","97279"
"2020-09-22 01:14:00","97009"
"2020-09-22 01:13:00","96718"
"2020-09-22 01:12:00","96112"
"2020-09-22 01:11:00","96077"
"2020-09-22 01:10:00","95982"
"2020-09-22 01:09:00","95522"
"2020-09-22 01:08:00","95412"
"2020-09-22 01:07:00","95105"
"2020-09-22 01:06:00","95302"
"2020-09-22 01:05:00","94307"
"2020-09-22 01:04:00","92098"
"2020-09-22 01:03:00","91351"
"2020-09-22 01:02:00","91243"
"2020-09-22 01:01:00","93285"
"2020-09-22 01:00:00","93376"
"2020-09-22 00:59:00","93526"
"2020-09-22 00:58:00","93126"
"2020-09-22 00:57:00","92794"
"2020-09-22 00:56:00","91707"
"2020-09-22 00:55:00","91712"
"2020-09-22 00:54:00","93239"
"2020-09-22 00:53:00","94254"
"2020-09-22 00:52:00","94182"
"2020-09-22 00:51:00","94405"
"2020-09-22 00:50:00","92674"
"2020-09-22 00:49:00","90347"
"2020-09-22 00:48:00","85544"
"2020-09-22 00:47:00","84448"
"2020-09-22 00:46:00","67574"
"2020-09-22 00:45:00","34666"
"2020-09-22 00:44:00","42910"
"2020-09-22 00:43:00","37958"
"2020-09-22 00:42:00","34969"
"2020-09-22 00:41:00","34482"
"2020-09-22 00:40:00","33338"
"2020-09-22 00:39:00","33471"
"2020-09-22 00:38:00","33568"
"2020-09-22 00:37:00","32818"
"2020-09-22 00:36:00","31236"
"2020-09-22 00:35:00","25525"
"2020-09-22 00:34:00","29232"
"2020-09-22 00:33:00","31257"
"2020-09-22 00:32:00","32642"
"2020-09-22 00:31:00","33379"
"2020-09-22 00:30:00","33554"
"2020-09-22 00:29:00","33680"
"2020-09-22 00:28:00","33581"
"2020-09-22 00:27:00","33572"
"2020-09-22 00:26:00","32869"
"2020-09-22 00:25:00","24029"
"2020-09-22 00:24:00","21891"
"2020-09-22 00:23:00","18218"
"2020-09-22 00:22:00","12563"
"2020-09-22 00:21:00","14877"
"2020-09-22 00:20:00","12008"
"2020-09-22 00:19:00","11378"
"2020-09-22 00:18:00","9687"
"2020-09-22 00:17:00","10861"
"2020-09-22 00:16:00","6974"
"2020-09-22 00:15:00","5013"
"2020-09-22 00:14:00","4996"
"2020-09-22 00:13:00","669"
"2020-09-22 00:12:00","3293"
"2020-09-22 00:11:00","4371"
"2020-09-22 00:10:00","1811"
"2020-09-22 00:05:00","2362"
"2020-09-22 00:04:00","4750"
"2020-09-22 00:03:00","2412"
"2020-09-21 23:58:00","2130"
"2020-09-21 23:57:00","4755"
"2020-09-21 23:56:00","4592"
"2020-09-21 23:51:00","135"
"2020-09-21 23:50:00","4426"
"2020-09-21 23:49:00","4520"
"2020-09-21 23:44:00","46"
"2020-09-21 23:43:00","4224"
"2020-09-21 23:42:00","2459"
"2020-09-21 23:37:00","1977"
"2020-09-21 23:36:00","4587"
"2020-09-21 23:35:00","3791"
"2020-09-21 23:30:00","747"
"2020-09-21 23:29:00","4638"
"2020-09-21 23:28:00","4474"
"2020-09-21 23:27:00","164"
"2020-09-21 23:22:00","4600"
"2020-09-21 23:21:00","4710"
"2020-09-21 23:16:00","94"
"2020-09-21 23:15:00","4706"
"2020-09-21 23:14:00","4832"
"2020-09-21 23:13:00","2262"
"2020-09-21 23:08:00","2382"
"2020-09-21 23:07:00","4815"
"2020-09-21 23:06:00","4318"
"2020-09-21 23:01:00","393"
"2020-09-21 23:00:00","4314"
"2020-09-21 22:59:00","1957"
"2020-09-21 22:54:00","2293"
"2020-09-21 22:53:00","4313"
"2020-09-21 22:52:00","2108"
"2020-09-21 22:47:00","2426"
"2020-09-21 22:46:00","4597"
"2020-09-21 22:45:00","96"
"2020-09-21 22:40:00","4165"
"2020-09-21 22:39:00","4278"
"2020-09-21 22:38:00","1874"
"2020-09-21 22:33:00","2795"
"2020-09-21 22:32:00","4454"
"2020-09-21 22:31:00","264"
"2020-09-21 22:26:00","2072"
"2020-09-21 22:25:00","2747"
"2020-09-21 22:20:00","1749"
"2020-09-21 22:19:00","4565"
"2020-09-21 22:18:00","4124"
