timestamp,message
1600726516962,"2020-09-21 22:15:16,961 senzing-50010180I User-supplied Governor loaded from /opt/senzing/g2/python/senzing_governor.py."
1600726516966,"2020-09-21 22:15:16,966 senzing-50010297I Enter {""config_path"": ""/etc/opt/senzing"", ""configuration_check_frequency_in_seconds"": 60, ""data_source"": ""TEST"", ""debug"": false, ""delay_in_seconds"": 0, ""engine_configuration_json"": null, ""entity_type"": ""GENERIC"", ""exit_on_empty_queue"": true, ""exit_sleep_time_in_seconds"": 300, ""expiration_warning_in_days"": 30, ""g2_configuration_file"": ""/opt/senzing/g2/python/g2config.json"", ""input_url"": null, ""kafka_bootstrap_server"": ""localhost:9092"", ""kafka_failure_bootstrap_server"": null, ""kafka_failure_topic"": ""senzing-kafka-failure-topic"", ""kafka_group"": ""senzing-kafka-group"", ""kafka_info_bootstrap_server"": null, ""kafka_info_topic"": ""senzing-kafka-info-topic"", ""kafka_topic"": ""senzing-kafka-topic"", ""ld_library_path"": ""/opt/senzing/g2/lib:/opt/senzing/g2/lib/debian:/opt/IBM/db2/clidriver/lib"", ""log_license_period_in_seconds"": 86400, ""monitoring_period_in_seconds"": 60, ""program_updated"": ""2020-09-11"", ""program_version"": ""1.6.1"", ""python_path"": ""/opt/senzing/g2/python"", ""queue_maxsize"": 10, ""rabbitmq_exchange"": ""senzing-rabbitmq-exchange"", ""rabbitmq_failure_exchange"": null, ""rabbitmq_failure_host"": null, ""rabbitmq_failure_port"": null, ""rabbitmq_failure_queue"": ""senzing-rabbitmq-failure-queue"", ""rabbitmq_failure_routing_key"": ""senzing.failure"", ""rabbitmq_failure_username"": null, ""rabbitmq_host"": ""localhost:5672"", ""rabbitmq_info_exchange"": null, ""rabbitmq_info_host"": null, ""rabbitmq_info_port"": null, ""rabbitmq_info_queue"": ""senzing-rabbitmq-info-queue"", ""rabbitmq_info_routing_key"": ""senzing.info"", ""rabbitmq_info_username"": null, ""rabbitmq_port"": ""5672"", ""rabbitmq_prefetch_count"": 50, ""rabbitmq_queue"": ""senzing-rabbitmq-queue"", ""rabbitmq_use_existing_entities"": true, ""rabbitmq_username"": ""user"", ""resource_path"": ""/opt/senzing/g2/resources"", ""skip_database_performance_test"": true, ""sleep_time_in_seconds"": 0, ""sqs_dead_letter_queue_enabled"": false, ""sqs_failure_queue_url"": null, ""sqs_info_queue_url"": null, ""sqs_queue_url"": ""https://sqs.us-east-1.amazonaws.com/488776654093/mjd-18-sqs-queue"", ""sqs_wait_time_seconds"": 20, ""start_time"": 1600726516.9660518, ""subcommand"": ""sqs"", ""support_path"": ""/opt/senzing/data"", ""threads_per_process"": 8}"
1600726520016,"2020-09-21 22:15:20,016 senzing-50010160I -------------------- LICENSE --------------------"
1600726520017,"2020-09-21 22:15:20,016 senzing-50010161I           Version: 2.1.0 (2020-09-02)"
1600726520017,"2020-09-21 22:15:20,016 senzing-50010162I          Customer: Senzing Internal"
1600726520017,"2020-09-21 22:15:20,017 senzing-50010163I              Type: EVAL"
1600726520017,"2020-09-21 22:15:20,017 senzing-50010164I   Expiration date: 2021-03-15"
1600726520019,"2020-09-21 22:15:20,019 senzing-50010165I   Expiration time: 174 days until expiration"
1600726520019,"2020-09-21 22:15:20,019 senzing-50010166I           Records: 100000000"
1600726520019,"2020-09-21 22:15:20,019 senzing-50010167I          Contract: Senzing Internal - 100M"
