timestamp,message
1600784167679,"2020-09-22 14:16:07,678 senzing-50100180I User-supplied Governor loaded from /opt/senzing/g2/python/senzing_governor.py."
1600784167684,"2020-09-22 14:16:07,684 senzing-50100297I Enter {""config_path"": ""/etc/opt/senzing"", ""debug"": false, ""delay_in_seconds"": 0, ""engine_configuration_json"": null, ""expiration_warning_in_days"": 30, ""kafka_bootstrap_server"": ""localhost:9092"", ""kafka_failure_bootstrap_server"": null, ""kafka_failure_topic"": ""senzing-kafka-failure-topic"", ""kafka_info_bootstrap_server"": null, ""kafka_info_topic"": ""senzing-kafka-info-topic"", ""kafka_redo_bootstrap_server"": null, ""kafka_redo_group"": ""senzing-kafka-redo-group"", ""kafka_redo_topic"": ""senzing-kafka-redo-topic"", ""log_license_period_in_seconds"": 86400, ""monitoring_period_in_seconds"": 600, ""processed_redo_records"": 0, ""program_updated"": ""2020-08-29"", ""program_version"": ""1.3.2"", ""queue_maxsize"": 10, ""rabbitmq_delivery_mode"": 1, ""rabbitmq_failure_host"": null, ""rabbitmq_failure_password"": null, ""rabbitmq_failure_queue"": ""senzing-rabbitmq-failure-queue"", ""rabbitmq_failure_username"": null, ""rabbitmq_host"": ""localhost:5672"", ""rabbitmq_info_host"": null, ""rabbitmq_info_password"": null, ""rabbitmq_info_queue"": ""senzing-rabbitmq-info-queue"", ""rabbitmq_info_username"": null, ""rabbitmq_password"": ""bitnami"", ""rabbitmq_prefetch_count"": 50, ""rabbitmq_redo_host"": null, ""rabbitmq_redo_password"": null, ""rabbitmq_redo_queue"": ""senzing-rabbitmq-redo-queue"", ""rabbitmq_redo_username"": null, ""rabbitmq_username"": ""user"", ""received_from_redo_queue"": 0, ""redo_records_from_senzing_engine"": 0, ""redo_sleep_time_in_seconds"": 600, ""resource_path"": ""/opt/senzing/g2/resources"", ""sent_to_failure_queue"": 0, ""sent_to_info_queue"": 0, ""sent_to_redo_queue"": 0, ""sleep_time_in_seconds"": 0, ""sqs_failure_queue_url"": null, ""sqs_info_queue_url"": null, ""sqs_redo_queue_url"": null, ""start_time"": 1600784167.6840627, ""subcommand"": ""redo"", ""support_path"": ""/opt/senzing/data"", ""threads_per_process"": 4}"
1600784169176,"2020-09-22 14:16:09,176 senzing-50100160I -------------------- LICENSE --------------------"
1600784169176,"2020-09-22 14:16:09,176 senzing-50100161I           Version: 2.1.0 (2020-09-02)"
1600784169176,"2020-09-22 14:16:09,176 senzing-50100162I          Customer: Senzing Internal"
1600784169176,"2020-09-22 14:16:09,176 senzing-50100163I              Type: EVAL"
1600784169176,"2020-09-22 14:16:09,176 senzing-50100164I   Expiration date: 2021-03-15"
1600784169178,"2020-09-22 14:16:09,178 senzing-50100165I   Expiration time: 173 days until expiration"
1600784169178,"2020-09-22 14:16:09,178 senzing-50100166I           Records: 100000000"
1600784169178,"2020-09-22 14:16:09,178 senzing-50100167I          Contract: Senzing Internal - 100M"
