"time","inserts_per_minute"
"2020-09-27 23:44:00","8074"
"2020-09-27 23:43:00","75489"
"2020-09-27 23:42:00","76275"
"2020-09-27 23:41:00","76389"
"2020-09-27 23:40:00","76609"
"2020-09-27 23:39:00","76652"
"2020-09-27 23:38:00","76801"
"2020-09-27 23:37:00","76843"
"2020-09-27 23:36:00","76894"
"2020-09-27 23:35:00","76788"
"2020-09-27 23:34:00","77056"
"2020-09-27 23:33:00","77201"
"2020-09-27 23:32:00","76947"
"2020-09-27 23:31:00","77238"
"2020-09-27 23:30:00","77067"
"2020-09-27 23:29:00","77340"
"2020-09-27 23:28:00","77515"
"2020-09-27 23:27:00","77389"
"2020-09-27 23:26:00","77168"
"2020-09-27 23:25:00","76883"
"2020-09-27 23:24:00","76322"
"2020-09-27 23:23:00","76802"
"2020-09-27 23:22:00","75905"
"2020-09-27 23:21:00","75262"
"2020-09-27 23:20:00","75794"
"2020-09-27 23:19:00","76847"
"2020-09-27 23:18:00","77754"
"2020-09-27 23:17:00","77725"
"2020-09-27 23:16:00","77896"
"2020-09-27 23:15:00","77960"
"2020-09-27 23:14:00","78286"
"2020-09-27 23:13:00","77978"
"2020-09-27 23:12:00","77313"
"2020-09-27 23:11:00","77361"
"2020-09-27 23:10:00","77692"
"2020-09-27 23:09:00","77998"
"2020-09-27 23:08:00","78670"
"2020-09-27 23:07:00","78461"
"2020-09-27 23:06:00","78402"
"2020-09-27 23:05:00","78878"
"2020-09-27 23:04:00","78403"
"2020-09-27 23:03:00","78612"
"2020-09-27 23:02:00","78696"
"2020-09-27 23:01:00","78363"
"2020-09-27 23:00:00","78393"
"2020-09-27 22:59:00","77887"
"2020-09-27 22:58:00","77411"
"2020-09-27 22:57:00","76608"
"2020-09-27 22:56:00","77341"
"2020-09-27 22:55:00","77846"
"2020-09-27 22:54:00","79493"
"2020-09-27 22:53:00","79610"
"2020-09-27 22:52:00","79504"
"2020-09-27 22:51:00","79650"
"2020-09-27 22:50:00","79522"
"2020-09-27 22:49:00","79770"
"2020-09-27 22:48:00","79777"
"2020-09-27 22:47:00","79444"
"2020-09-27 22:46:00","79581"
"2020-09-27 22:45:00","79569"
"2020-09-27 22:44:00","79575"
"2020-09-27 22:43:00","79618"
"2020-09-27 22:42:00","79974"
"2020-09-27 22:41:00","79695"
"2020-09-27 22:40:00","79664"
"2020-09-27 22:39:00","80031"
"2020-09-27 22:38:00","80132"
"2020-09-27 22:37:00","79853"
"2020-09-27 22:36:00","79958"
"2020-09-27 22:35:00","78976"
"2020-09-27 22:34:00","78338"
"2020-09-27 22:33:00","78258"
"2020-09-27 22:32:00","77897"
"2020-09-27 22:31:00","79666"
"2020-09-27 22:30:00","80360"
"2020-09-27 22:29:00","80539"
"2020-09-27 22:28:00","80712"
"2020-09-27 22:27:00","80345"
"2020-09-27 22:26:00","80845"
"2020-09-27 22:25:00","80779"
"2020-09-27 22:24:00","80737"
"2020-09-27 22:23:00","81185"
"2020-09-27 22:22:00","80988"
"2020-09-27 22:21:00","81021"
"2020-09-27 22:20:00","81219"
"2020-09-27 22:19:00","80990"
"2020-09-27 22:18:00","81085"
"2020-09-27 22:17:00","81316"
"2020-09-27 22:16:00","81178"
"2020-09-27 22:15:00","81334"
"2020-09-27 22:14:00","81506"
"2020-09-27 22:13:00","81506"
"2020-09-27 22:12:00","81566"
"2020-09-27 22:11:00","81409"
"2020-09-27 22:10:00","79825"
"2020-09-27 22:09:00","79138"
"2020-09-27 22:08:00","79609"
"2020-09-27 22:07:00","81978"
"2020-09-27 22:06:00","82198"
"2020-09-27 22:05:00","82147"
"2020-09-27 22:04:00","82644"
"2020-09-27 22:03:00","82267"
"2020-09-27 22:02:00","82274"
"2020-09-27 22:01:00","82641"
"2020-09-27 22:00:00","82323"
"2020-09-27 21:59:00","82911"
"2020-09-27 21:58:00","83146"
"2020-09-27 21:57:00","82936"
"2020-09-27 21:56:00","83218"
"2020-09-27 21:55:00","83195"
"2020-09-27 21:54:00","83081"
"2020-09-27 21:53:00","83644"
"2020-09-27 21:52:00","83389"
"2020-09-27 21:51:00","83625"
"2020-09-27 21:50:00","83625"
"2020-09-27 21:49:00","83894"
"2020-09-27 21:48:00","84176"
"2020-09-27 21:47:00","84170"
"2020-09-27 21:46:00","84590"
"2020-09-27 21:45:00","84642"
"2020-09-27 21:44:00","84596"
"2020-09-27 21:43:00","84808"
"2020-09-27 21:42:00","84252"
"2020-09-27 21:41:00","83809"
"2020-09-27 21:40:00","74759"
"2020-09-27 21:39:00","37062"
"2020-09-27 21:38:00","19852"
"2020-09-27 21:37:00","11320"
"2020-09-27 21:36:00","8280"
"2020-09-27 21:35:00","4359"
"2020-09-27 21:34:00","2403"
"2020-09-27 21:33:00","2012"
"2020-09-27 21:32:00","2005"
"2020-09-27 21:31:00","2092"
"2020-09-27 21:30:00","2088"
"2020-09-27 21:29:00","2109"
"2020-09-27 21:28:00","2107"
"2020-09-27 21:27:00","2129"
"2020-09-27 21:26:00","2124"
"2020-09-27 21:25:00","2153"
"2020-09-27 21:24:00","2129"
"2020-09-27 21:23:00","2186"
"2020-09-27 21:22:00","2199"
"2020-09-27 21:21:00","2149"
"2020-09-27 21:20:00","71"
