"time","inserts_per_minute"
"2020-09-28 21:14:00","41379"
"2020-09-28 21:13:00","99731"
"2020-09-28 21:12:00","99643"
"2020-09-28 21:11:00","99141"
"2020-09-28 21:10:00","92728"
"2020-09-28 21:09:00","66474"
"2020-09-28 21:08:00","67770"
"2020-09-28 21:07:00","91609"
"2020-09-28 21:06:00","90821"
"2020-09-28 21:05:00","90765"
"2020-09-28 21:04:00","91557"
"2020-09-28 21:03:00","90798"
"2020-09-28 21:02:00","90514"
"2020-09-28 21:01:00","90673"
"2020-09-28 21:00:00","90316"
"2020-09-28 20:59:00","88514"
"2020-09-28 20:58:00","89558"
"2020-09-28 20:57:00","89684"
"2020-09-28 20:56:00","88953"
"2020-09-28 20:55:00","86800"
"2020-09-28 20:54:00","87518"
"2020-09-28 20:53:00","88035"
"2020-09-28 20:52:00","90389"
"2020-09-28 20:51:00","90371"
"2020-09-28 20:50:00","91174"
"2020-09-28 20:49:00","91235"
"2020-09-28 20:48:00","90902"
"2020-09-28 20:47:00","91886"
"2020-09-28 20:46:00","91299"
"2020-09-28 20:45:00","91589"
"2020-09-28 20:44:00","92044"
"2020-09-28 20:43:00","92536"
"2020-09-28 20:42:00","91818"
"2020-09-28 20:41:00","92075"
"2020-09-28 20:40:00","91913"
"2020-09-28 20:39:00","91968"
"2020-09-28 20:38:00","91586"
"2020-09-28 20:37:00","89962"
"2020-09-28 20:36:00","90998"
"2020-09-28 20:35:00","89952"
"2020-09-28 20:34:00","88181"
"2020-09-28 20:33:00","89994"
"2020-09-28 20:32:00","91168"
"2020-09-28 20:31:00","91904"
"2020-09-28 20:30:00","91783"
"2020-09-28 20:29:00","92660"
"2020-09-28 20:28:00","92870"
"2020-09-28 20:27:00","92556"
"2020-09-28 20:26:00","92833"
"2020-09-28 20:25:00","93150"
"2020-09-28 20:24:00","92529"
"2020-09-28 20:23:00","93109"
"2020-09-28 20:22:00","93523"
"2020-09-28 20:21:00","92717"
"2020-09-28 20:20:00","93144"
"2020-09-28 20:19:00","93654"
"2020-09-28 20:18:00","92524"
"2020-09-28 20:17:00","92828"
"2020-09-28 20:16:00","92590"
"2020-09-28 20:15:00","89900"
"2020-09-28 20:14:00","90393"
"2020-09-28 20:13:00","89805"
"2020-09-28 20:12:00","91791"
"2020-09-28 20:11:00","93495"
"2020-09-28 20:10:00","92853"
"2020-09-28 20:09:00","93348"
"2020-09-28 20:08:00","94403"
"2020-09-28 20:07:00","94172"
"2020-09-28 20:06:00","94362"
"2020-09-28 20:05:00","94260"
"2020-09-28 20:04:00","94765"
"2020-09-28 20:03:00","94114"
"2020-09-28 20:02:00","94382"
"2020-09-28 20:01:00","94387"
"2020-09-28 20:00:00","93916"
"2020-09-28 19:59:00","94225"
"2020-09-28 19:58:00","94596"
"2020-09-28 19:57:00","94641"
"2020-09-28 19:56:00","94545"
"2020-09-28 19:55:00","94273"
"2020-09-28 19:54:00","92946"
"2020-09-28 19:53:00","91701"
"2020-09-28 19:52:00","90907"
"2020-09-28 19:51:00","95429"
"2020-09-28 19:50:00","94952"
"2020-09-28 19:49:00","94844"
"2020-09-28 19:48:00","95060"
"2020-09-28 19:47:00","94994"
"2020-09-28 19:46:00","95178"
"2020-09-28 19:45:00","94645"
"2020-09-28 19:44:00","94945"
"2020-09-28 19:43:00","94863"
"2020-09-28 19:42:00","94756"
"2020-09-28 19:41:00","94533"
"2020-09-28 19:40:00","94741"
"2020-09-28 19:39:00","94668"
"2020-09-28 19:38:00","94626"
"2020-09-28 19:37:00","94354"
"2020-09-28 19:36:00","94462"
"2020-09-28 19:35:00","94693"
"2020-09-28 19:34:00","94122"
"2020-09-28 19:33:00","93910"
"2020-09-28 19:32:00","93503"
"2020-09-28 19:31:00","93917"
"2020-09-28 19:30:00","92812"
"2020-09-28 19:29:00","91384"
"2020-09-28 19:28:00","64494"
"2020-09-28 19:27:00","44227"
"2020-09-28 19:26:00","33469"
"2020-09-28 19:25:00","24074"
"2020-09-28 19:24:00","14590"
"2020-09-28 19:23:00","10626"
"2020-09-28 19:22:00","9100"
"2020-09-28 19:21:00","7970"
"2020-09-28 19:20:00","6223"
"2020-09-28 19:19:00","6077"
"2020-09-28 19:18:00","6102"
"2020-09-28 19:17:00","4796"
"2020-09-28 19:16:00","4223"
"2020-09-28 19:15:00","4209"
"2020-09-28 19:14:00","3175"
"2020-09-28 19:13:00","1849"
"2020-09-28 19:12:00","1940"
"2020-09-28 19:11:00","1939"
"2020-09-28 19:10:00","1937"
"2020-09-28 19:09:00","1954"
"2020-09-28 19:08:00","1955"
"2020-09-28 19:07:00","1977"
"2020-09-28 19:06:00","1959"
"2020-09-28 19:05:00","1969"
"2020-09-28 19:04:00","1978"
"2020-09-28 19:03:00","1971"
"2020-09-28 19:02:00","1994"
"2020-09-28 19:01:00","1988"
"2020-09-28 19:00:00","2017"
"2020-09-28 18:59:00","1839"
"2020-09-28 18:58:00","1968"
"2020-09-28 18:57:00","1870"
"2020-09-28 18:56:00","1950"
"2020-09-28 18:55:00","1625"
