"time","inserts_per_minute"
"2020-10-09 23:39:00","73762"
"2020-10-09 23:38:00","76832"
"2020-10-09 23:37:00","76763"
"2020-10-09 23:36:00","77276"
"2020-10-09 23:35:00","77182"
"2020-10-09 23:34:00","76691"
"2020-10-09 23:33:00","77072"
"2020-10-09 23:32:00","77588"
"2020-10-09 23:31:00","77379"
"2020-10-09 23:30:00","78387"
"2020-10-09 23:29:00","79167"
"2020-10-09 23:28:00","79244"
"2020-10-09 23:27:00","78853"
"2020-10-09 23:26:00","77983"
"2020-10-09 23:25:00","79021"
"2020-10-09 23:24:00","79119"
"2020-10-09 23:23:00","79402"
"2020-10-09 23:22:00","79657"
"2020-10-09 23:21:00","79051"
"2020-10-09 23:20:00","78303"
"2020-10-09 23:19:00","78803"
"2020-10-09 23:18:00","79708"
"2020-10-09 23:17:00","80021"
"2020-10-09 23:16:00","80129"
"2020-10-09 23:15:00","79990"
"2020-10-09 23:14:00","79565"
"2020-10-09 23:13:00","79816"
"2020-10-09 23:12:00","79526"
"2020-10-09 23:11:00","79961"
"2020-10-09 23:10:00","79158"
"2020-10-09 23:09:00","80485"
"2020-10-09 23:08:00","80517"
"2020-10-09 23:07:00","81153"
"2020-10-09 23:06:00","82024"
"2020-10-09 23:05:00","82438"
"2020-10-09 23:04:00","82550"
"2020-10-09 23:03:00","80606"
"2020-10-09 23:02:00","81750"
"2020-10-09 23:01:00","82904"
"2020-10-09 23:00:00","83038"
"2020-10-09 22:59:00","82206"
"2020-10-09 22:58:00","82416"
"2020-10-09 22:57:00","81948"
"2020-10-09 22:56:00","81310"
"2020-10-09 22:55:00","81881"
"2020-10-09 22:54:00","81943"
"2020-10-09 22:53:00","82650"
"2020-10-09 22:52:00","82777"
"2020-10-09 22:51:00","82744"
"2020-10-09 22:50:00","82615"
"2020-10-09 22:49:00","82261"
"2020-10-09 22:48:00","82439"
"2020-10-09 22:47:00","81530"
"2020-10-09 22:46:00","82061"
"2020-10-09 22:45:00","81997"
"2020-10-09 22:44:00","82489"
"2020-10-09 22:43:00","83758"
"2020-10-09 22:42:00","83714"
"2020-10-09 22:41:00","83702"
"2020-10-09 22:40:00","83033"
