"time","inserts_per_minute"
"2020-10-24 01:20:00","62056"
"2020-10-24 01:19:00","98632"
"2020-10-24 01:18:00","98702"
"2020-10-24 01:17:00","99066"
"2020-10-24 01:16:00","98792"
"2020-10-24 01:15:00","98971"
"2020-10-24 01:14:00","99404"
"2020-10-24 01:13:00","98996"
"2020-10-24 01:12:00","99450"
"2020-10-24 01:11:00","99469"
"2020-10-24 01:10:00","98175"
"2020-10-24 01:09:00","98880"
"2020-10-24 01:08:00","99472"
"2020-10-24 01:07:00","95947"
"2020-10-24 01:06:00","98906"
"2020-10-24 01:05:00","98107"
"2020-10-24 01:04:00","97497"
"2020-10-24 01:03:00","97148"
"2020-10-24 01:02:00","97640"
"2020-10-24 01:01:00","98561"
"2020-10-24 01:00:00","100246"
"2020-10-24 00:59:00","100578"
"2020-10-24 00:58:00","100216"
"2020-10-24 00:57:00","100261"
"2020-10-24 00:56:00","100529"
"2020-10-24 00:55:00","100852"
"2020-10-24 00:54:00","100770"
"2020-10-24 00:53:00","101129"
"2020-10-24 00:52:00","101317"
"2020-10-24 00:51:00","101816"
"2020-10-24 00:50:00","101116"
"2020-10-24 00:49:00","102109"
"2020-10-24 00:48:00","102305"
"2020-10-24 00:47:00","99641"
"2020-10-24 00:46:00","100735"
"2020-10-24 00:45:00","101149"
"2020-10-24 00:44:00","99969"
"2020-10-24 00:43:00","99681"
"2020-10-24 00:42:00","100939"
"2020-10-24 00:41:00","102013"
"2020-10-24 00:40:00","101795"
"2020-10-24 00:39:00","101919"
"2020-10-24 00:38:00","101936"
"2020-10-24 00:37:00","102252"
"2020-10-24 00:36:00","102047"
"2020-10-24 00:35:00","101801"
"2020-10-24 00:34:00","102388"
"2020-10-24 00:33:00","102156"
"2020-10-24 00:32:00","102253"
"2020-10-24 00:31:00","101563"
"2020-10-24 00:30:00","100783"
"2020-10-24 00:29:00","99716"
"2020-10-24 00:28:00","98218"
"2020-10-24 00:27:00","94938"
"2020-10-24 00:26:00","93500"
"2020-10-24 00:25:00","92830"
"2020-10-24 00:24:00","93169"
"2020-10-24 00:23:00","95550"
"2020-10-24 00:22:00","95705"
"2020-10-24 00:21:00","94641"
"2020-10-24 00:20:00","95447"
"2020-10-24 00:19:00","95544"
"2020-10-24 00:18:00","95129"
"2020-10-24 00:17:00","94919"
"2020-10-24 00:16:00","95064"
"2020-10-24 00:15:00","94830"
"2020-10-24 00:14:00","95197"
"2020-10-24 00:13:00","95183"
"2020-10-24 00:12:00","95069"
"2020-10-24 00:11:00","94810"
"2020-10-24 00:10:00","94532"
"2020-10-24 00:09:00","94155"
"2020-10-24 00:08:00","93844"
"2020-10-24 00:07:00","94074"
"2020-10-24 00:06:00","92245"
"2020-10-24 00:05:00","91058"
"2020-10-24 00:04:00","89538"
"2020-10-24 00:03:00","93314"
"2020-10-24 00:02:00","92550"
"2020-10-24 00:01:00","86362"
"2020-10-24 00:00:00","78777"
"2020-10-23 23:59:00","73404"
"2020-10-23 23:58:00","70962"
"2020-10-23 23:57:00","68350"
"2020-10-23 23:56:00","66701"
"2020-10-23 23:55:00","66626"
"2020-10-23 23:54:00","66701"
"2020-10-23 23:53:00","65293"
"2020-10-23 23:52:00","65411"
"2020-10-23 23:51:00","65481"
"2020-10-23 23:50:00","65468"
"2020-10-23 23:49:00","65729"
"2020-10-23 23:48:00","65781"
"2020-10-23 23:47:00","65852"
"2020-10-23 23:46:00","65842"
"2020-10-23 23:45:00","66034"
"2020-10-23 23:44:00","65849"
"2020-10-23 23:43:00","66293"
"2020-10-23 23:42:00","66320"
"2020-10-23 23:41:00","66352"
"2020-10-23 23:40:00","66322"
"2020-10-23 23:39:00","66617"
"2020-10-23 23:38:00","66552"
"2020-10-23 23:37:00","66801"
"2020-10-23 23:36:00","66727"
"2020-10-23 23:35:00","66374"
"2020-10-23 23:34:00","57121"
"2020-10-23 23:28:00","30076"
"2020-10-23 23:27:00","39044"
"2020-10-23 23:26:00","33051"
"2020-10-23 23:25:00","30969"
"2020-10-23 23:24:00","30729"
"2020-10-23 23:23:00","30275"
"2020-10-23 23:22:00","23130"
"2020-10-23 23:21:00","22264"
"2020-10-23 23:20:00","13679"
"2020-10-23 23:19:00","13710"
"2020-10-23 23:18:00","13770"
"2020-10-23 23:17:00","13760"
"2020-10-23 23:16:00","522"
"2020-10-23 23:11:00","9609"
"2020-10-23 23:10:00","11611"
"2020-10-23 23:09:00","10794"
"2020-10-23 23:08:00","6222"
"2020-10-23 23:07:00","6476"
"2020-10-23 23:06:00","6004"
"2020-10-23 23:05:00","1289"
"2020-10-23 23:00:00","2825"
"2020-10-23 22:59:00","4948"
"2020-10-23 22:58:00","4737"
"2020-10-23 22:57:00","4257"
"2020-10-23 22:56:00","4674"
"2020-10-23 22:55:00","2104"
"2020-10-23 22:54:00","2065"
"2020-10-23 22:53:00","2140"
"2020-10-23 22:52:00","2141"
"2020-10-23 22:51:00","2145"
"2020-10-23 22:50:00","2147"
"2020-10-23 22:49:00","2166"
"2020-10-23 22:48:00","2184"
"2020-10-23 22:47:00","2188"
"2020-10-23 22:46:00","2205"
"2020-10-23 22:45:00","2160"
"2020-10-23 22:44:00","924"
