"time","inserts_per_minute"
"2020-10-25 13:35:00","21"
"2020-10-25 13:34:00","19437"
"2020-10-25 13:33:00","55295"
"2020-10-25 13:32:00","76368"
"2020-10-25 13:31:00","77946"
"2020-10-25 13:30:00","62747"
"2020-10-25 13:29:00","30951"
"2020-10-25 13:28:00","23460"
"2020-10-25 13:27:00","20887"
"2020-10-25 13:26:00","20847"
"2020-10-25 13:25:00","38304"
"2020-10-25 13:24:00","37614"
"2020-10-25 13:18:00","46654"
"2020-10-25 13:17:00","47651"
"2020-10-25 13:16:00","38371"
"2020-10-25 13:15:00","29398"
"2020-10-25 13:14:00","35461"
"2020-10-25 13:13:00","35519"
"2020-10-25 13:12:00","35437"
"2020-10-25 13:11:00","35469"
"2020-10-25 13:10:00","35897"
"2020-10-25 13:09:00","35680"
"2020-10-25 13:08:00","49128"
"2020-10-25 13:07:00","77120"
"2020-10-25 13:06:00","88498"
"2020-10-25 13:05:00","84567"
"2020-10-25 13:04:00","83357"
"2020-10-25 13:03:00","36053"
"2020-10-25 13:02:00","41826"
"2020-10-25 13:01:00","53000"
"2020-10-25 13:00:00","35347"
"2020-10-25 12:59:00","83963"
"2020-10-25 12:58:00","86238"
"2020-10-25 12:57:00","79241"
"2020-10-25 12:56:00","35295"
"2020-10-25 12:55:00","35447"
"2020-10-25 12:54:00","35607"
"2020-10-25 12:53:00","35641"
"2020-10-25 12:52:00","36121"
"2020-10-25 12:51:00","37094"
"2020-10-25 12:50:00","38305"
"2020-10-25 12:49:00","40413"
"2020-10-25 12:48:00","38829"
"2020-10-25 12:47:00","41795"
"2020-10-25 12:46:00","40490"
"2020-10-25 12:45:00","42584"
"2020-10-25 12:44:00","42957"
"2020-10-25 12:43:00","40815"
"2020-10-25 12:42:00","40267"
"2020-10-25 12:41:00","42038"
"2020-10-25 12:40:00","42334"
"2020-10-25 12:39:00","42678"
"2020-10-25 12:38:00","37363"
"2020-10-25 12:37:00","36834"
"2020-10-25 12:36:00","34088"
"2020-10-25 12:35:00","34066"
"2020-10-25 12:34:00","36797"
"2020-10-25 12:33:00","36284"
"2020-10-25 12:32:00","36574"
"2020-10-25 12:31:00","34726"
"2020-10-25 12:30:00","43566"
"2020-10-25 12:29:00","57366"
"2020-10-25 12:28:00","3567"
"2020-10-25 12:26:00","26949"
"2020-10-25 12:25:00","51378"
"2020-10-25 12:24:00","47787"
"2020-10-25 12:23:00","26227"
"2020-10-25 12:22:00","23946"
"2020-10-25 12:21:00","24114"
"2020-10-25 12:20:00","23930"
"2020-10-25 12:19:00","23947"
"2020-10-25 12:18:00","23808"
"2020-10-25 12:17:00","22232"
"2020-10-25 12:16:00","22159"
"2020-10-25 12:15:00","22809"
"2020-10-25 12:14:00","21956"
"2020-10-25 12:13:00","22110"
"2020-10-25 12:12:00","24065"
"2020-10-25 12:11:00","21727"
"2020-10-25 12:10:00","21654"
"2020-10-25 12:09:00","21754"
"2020-10-25 12:08:00","36161"
"2020-10-25 12:02:00","40524"
"2020-10-25 12:01:00","48921"
"2020-10-25 12:00:00","34940"
"2020-10-25 11:59:00","31116"
"2020-10-25 11:58:00","33337"
"2020-10-25 11:57:00","33258"
"2020-10-25 11:56:00","33534"
"2020-10-25 11:55:00","33484"
"2020-10-25 11:54:00","33047"
"2020-10-25 11:53:00","33259"
"2020-10-25 11:52:00","34439"
"2020-10-25 11:51:00","36232"
"2020-10-25 11:50:00","37200"
"2020-10-25 11:49:00","37100"
"2020-10-25 11:48:00","38299"
"2020-10-25 11:47:00","83923"
"2020-10-25 11:46:00","82250"
"2020-10-25 11:45:00","83717"
"2020-10-25 11:44:00","83362"
"2020-10-25 11:43:00","84226"
"2020-10-25 11:42:00","84396"
"2020-10-25 11:41:00","82577"
"2020-10-25 11:40:00","36729"
"2020-10-25 11:39:00","73234"
"2020-10-25 11:38:00","82145"
"2020-10-25 11:37:00","84380"
"2020-10-25 11:36:00","62480"
"2020-10-25 11:35:00","36158"
"2020-10-25 11:34:00","35770"
"2020-10-25 11:33:00","36583"
"2020-10-25 11:32:00","36292"
"2020-10-25 11:31:00","36262"
"2020-10-25 11:30:00","36838"
"2020-10-25 11:29:00","36897"
"2020-10-25 11:28:00","37938"
"2020-10-25 11:27:00","36833"
"2020-10-25 11:26:00","37727"
"2020-10-25 11:25:00","37793"
"2020-10-25 11:24:00","36750"
"2020-10-25 11:23:00","36421"
"2020-10-25 11:22:00","36207"
"2020-10-25 11:21:00","36252"
"2020-10-25 11:20:00","34758"
"2020-10-25 11:19:00","33936"
"2020-10-25 11:18:00","33829"
"2020-10-25 11:17:00","34109"
"2020-10-25 11:16:00","34148"
"2020-10-25 11:15:00","34873"
"2020-10-25 11:14:00","33716"
"2020-10-25 11:13:00","33429"
"2020-10-25 11:12:00","33949"
"2020-10-25 11:11:00","32745"
"2020-10-25 11:10:00","50928"
"2020-10-25 11:04:00","37336"
"2020-10-25 11:03:00","52012"
"2020-10-25 11:02:00","48712"
"2020-10-25 11:01:00","21083"
"2020-10-25 11:00:00","24169"
"2020-10-25 10:59:00","23912"
"2020-10-25 10:58:00","26079"
"2020-10-25 10:57:00","28189"
"2020-10-25 10:56:00","29307"
"2020-10-25 10:55:00","30653"
"2020-10-25 10:54:00","30364"
"2020-10-25 10:53:00","74539"
"2020-10-25 10:52:00","87460"
"2020-10-25 10:51:00","80046"
"2020-10-25 10:50:00","30320"
"2020-10-25 10:49:00","77830"
"2020-10-25 10:48:00","86078"
"2020-10-25 10:47:00","83729"
"2020-10-25 10:46:00","84535"
"2020-10-25 10:45:00","81305"
"2020-10-25 10:44:00","79677"
"2020-10-25 10:43:00","61260"
"2020-10-25 10:42:00","32230"
"2020-10-25 10:41:00","60808"
"2020-10-25 10:40:00","52370"
"2020-10-25 10:34:00","46749"
"2020-10-25 10:33:00","50892"
"2020-10-25 10:32:00","38942"
"2020-10-25 10:31:00","84562"
"2020-10-25 10:30:00","30541"
"2020-10-25 10:29:00","30516"
"2020-10-25 10:28:00","31128"
"2020-10-25 10:27:00","30759"
"2020-10-25 10:26:00","30086"
"2020-10-25 10:25:00","30349"
"2020-10-25 10:24:00","29928"
"2020-10-25 10:23:00","31594"
"2020-10-25 10:22:00","32372"
"2020-10-25 10:21:00","33946"
"2020-10-25 10:20:00","33549"
"2020-10-25 10:19:00","34355"
"2020-10-25 10:18:00","28306"
"2020-10-25 10:17:00","28621"
"2020-10-25 10:16:00","27249"
"2020-10-25 10:15:00","26771"
"2020-10-25 10:14:00","26995"
"2020-10-25 10:13:00","26566"
"2020-10-25 10:12:00","26708"
"2020-10-25 10:11:00","26422"
"2020-10-25 10:10:00","26450"
"2020-10-25 10:09:00","43989"
"2020-10-25 10:08:00","5881"
"2020-10-25 10:03:00","29058"
"2020-10-25 10:02:00","50384"
"2020-10-25 10:01:00","44648"
"2020-10-25 10:00:00","20902"
"2020-10-25 09:59:00","26815"
"2020-10-25 09:58:00","26543"
"2020-10-25 09:57:00","24416"
"2020-10-25 09:56:00","24221"
"2020-10-25 09:55:00","24462"
"2020-10-25 09:54:00","24242"
"2020-10-25 09:53:00","24109"
"2020-10-25 09:52:00","24107"
"2020-10-25 09:51:00","23998"
"2020-10-25 09:50:00","24315"
"2020-10-25 09:49:00","24495"
"2020-10-25 09:48:00","39043"
"2020-10-25 09:42:00","42987"
"2020-10-25 09:41:00","49484"
"2020-10-25 09:40:00","33842"
"2020-10-25 09:39:00","24889"
"2020-10-25 09:38:00","24994"
"2020-10-25 09:37:00","24925"
"2020-10-25 09:36:00","24859"
"2020-10-25 09:35:00","25127"
"2020-10-25 09:34:00","31805"
"2020-10-25 09:33:00","87209"
"2020-10-25 09:32:00","37471"
"2020-10-25 09:31:00","44123"
"2020-10-25 09:30:00","48097"
"2020-10-25 09:29:00","39333"
"2020-10-25 09:28:00","85911"
"2020-10-25 09:27:00","86572"
"2020-10-25 09:26:00","81757"
"2020-10-25 09:25:00","41457"
"2020-10-25 09:24:00","29826"
"2020-10-25 09:23:00","30892"
"2020-10-25 09:22:00","33526"
"2020-10-25 09:21:00","33986"
"2020-10-25 09:20:00","34542"
"2020-10-25 09:19:00","33538"
"2020-10-25 09:18:00","34121"
"2020-10-25 09:17:00","33998"
"2020-10-25 09:16:00","40042"
"2020-10-25 09:15:00","47412"
"2020-10-25 09:14:00","86325"
"2020-10-25 09:13:00","81732"
