timestamp,message
1668198329840,"2022-11-11 20:25:29,840 senzing-50010297I Enter {""add_record_withinfo"": false, ""amqp_url"": null, ""azure_failure_connection_string"": null, ""azure_failure_queue_name"": null, ""azure_info_connection_string"": null, ""azure_info_queue_name"": null, ""azure_queue_connection_string"": null, ""azure_queue_name"": null, ""config_path"": ""/etc/opt/senzing"", ""configuration_check_frequency_in_seconds"": 60, ""debug"": false, ""delay_in_seconds"": 900, ""delay_randomized"": true, ""exit_on_empty_queue"": false, ""exit_on_exception"": true, ""expiration_warning_in_days"": 30, ""input_url"": null, ""kafka_bootstrap_server"": ""localhost:9092"", ""kafka_configuration"": null, ""kafka_failure_bootstrap_server"": null, ""kafka_failure_configuration"": null, ""kafka_failure_topic"": ""senzing-kafka-failure-topic"", ""kafka_group"": ""senzing-kafka-group"", ""kafka_info_bootstrap_server"": null, ""kafka_info_configuration"": null, ""kafka_info_topic"": ""senzing-kafka-info-topic"", ""kafka_topic"": ""senzing-kafka-topic"", ""ld_library_path"": ""/opt/senzing/g2/lib:/opt/senzing/g2/lib/debian:/opt/IBM/db2/clidriver/lib"", ""license_base64_encoded"": null, ""log_level_parameter"": ""info"", ""log_license_period_in_seconds"": 1800, ""long_record"": 300, ""max_workers"": null, ""message_interval"": 10000, ""monitoring_check_frequency_in_seconds"": 20, ""monitoring_period_in_seconds"": 600, ""prime_engine"": true, ""program_updated"": ""2022-11-01"", ""program_version"": ""2.2.2"", ""pstack_pid"": ""1"", ""python_path"": ""/opt/senzing/g2/sdk/python"", ""queue_maxsize"": 10, ""rabbitmq_exchange"": ""senzing-rabbitmq-exchange"", ""rabbitmq_failure_exchange"": null, ""rabbitmq_failure_host"": null, ""rabbitmq_failure_port"": null, ""rabbitmq_failure_queue"": ""senzing-rabbitmq-failure-queue"", ""rabbitmq_failure_routing_key"": ""senzing.failure"", ""rabbitmq_failure_username"": null, ""rabbitmq_failure_virtual_host"": null, ""rabbitmq_heartbeat_in_seconds"": 60, ""rabbitmq_host"": ""localhost:5672"", ""rabbitmq_info_exchange"": null, ""rabbitmq_info_host"": null, ""rabbitmq_info_port"": null, ""rabbitmq_info_queue"": ""senzing-rabbitmq-info-queue"", ""rabbitmq_info_routing_key"": ""senzing.info"", ""rabbitmq_info_username"": null, ""rabbitmq_info_virtual_host"": null, ""rabbitmq_port"": ""5672"", ""rabbitmq_prefetch_count"": 50, ""rabbitmq_queue"": ""senzing-rabbitmq-queue"", ""rabbitmq_reconnect_delay_in_seconds"": 60, ""rabbitmq_reconnect_number_of_retries"": 10, ""rabbitmq_use_existing_entities"": true, ""rabbitmq_username"": ""user"", ""rabbitmq_virtual_host"": ""/"", ""resource_path"": ""/opt/senzing/g2/resources"", ""run_as_gid"": 0, ""run_as_uid"": 1001, ""senzing_sdk_version_major"": 3, ""skip_database_performance_test"": true, ""skip_governor"": false, ""skip_info_filter"": false, ""sleep_time_in_seconds"": 0, ""sqs_failure_queue_url"": null, ""sqs_info_queue_delay_seconds"": 10, ""sqs_info_queue_url"": ""https://sqs.us-east-2.amazonaws.com/511635769224/Ron-34-perf-sqs-output"", ""sqs_queue_url"": ""https://sqs.us-east-2.amazonaws.com/511635769224/Ron-34-perf-sqs-input"", ""sqs_wait_time_seconds"": 20, ""start_time"": 1668198329.8404615, ""stream_loader_directive_name"": ""senzingStreamLoader"", ""subcommand"": ""sqs"", ""support_path"": ""/opt/senzing/data"", ""threads_per_process"": 20}"
1668198329850,"2022-11-11 20:25:29,850 senzing-50010180I User-supplied Governor loaded from /opt/senzing/g2/sdk/python/senzing_governor.py."
1668198329866,"2022-11-11 20:25:29,866 senzing-50010160I -------------------- LICENSE --------------------"
1668198329866,"2022-11-11 20:25:29,866 senzing-50010161I           Version: 3.4.0 (2022-11-09)"
1668198329866,"2022-11-11 20:25:29,866 senzing-50010162I          Customer: Senzing Internal"
1668198329867,"2022-11-11 20:25:29,866 senzing-50010163I              Type: EVAL (Solely for non-productive use)"
1668198329867,"2022-11-11 20:25:29,867 senzing-50010164I   Expiration date: 2023-07-28"
1668198329868,"2022-11-11 20:25:29,868 senzing-50010165I   Expiration time: 258 days until expiration"
1668198329868,"2022-11-11 20:25:29,868 senzing-50010166I           Records: 100000000"
1668198329868,"2022-11-11 20:25:29,868 senzing-50010167I          Contract: Senzing Internal - 100M"
