timestamp,message
1676588163474,"2023-02-16 22:56:03,474 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676588163475,"2023-02-16 22:56:03,475 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_sqs_consumer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676588163475,"2023-02-16 22:56:03,475 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676588163495,"2023-02-16 22:56:03,495 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676588163528,"2023-02-16 22:56:03,528 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676588613498,DeadLetter: https://queue.amazonaws.com/511635769224/Ron-100m-35-sqs-dead-letter
1676588613498,Threads: 20
1676588613498,Prefetch: 20
1676588613498,"{ ""workload"": { ""loadedRecords"": 14377864,  ""addedRecords"": 7155,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2983631,  ""retries"": 1,  ""candidates"": 39080,  ""actualAmbiguousTest"": 136,  ""cachedAmbiguousTest"": 0,  ""libFeatCacheHit"": 321492,  ""libFeatCacheMiss"": 122176,  ""resFeatStatCacheHit"": 2304113,  ""resFeatStatCacheMiss"": 206533,  ""resFeatStatUpdate"": 132550,  ""unresolveTest"": 1201,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 2,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 1199,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 21,  ""multipleResolvableCandidates"" : 1,  ""resolveNewFeatures"" : 1271,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 457 } ,  { ""ADDRESS"": 1215 } ,  { ""ADDR_KEY"": 1100 } ,  { ""DOB"": 339 } ,  { ""DRLIC"": 645 } ,  { ""GENDER"": 438 } ,  { ""ID_KEY"": 1074 } ,  { ""LOGIN_ID"": 299 } ,  { ""NAME"": 973 } ,  { ""NAME_KEY"": 1196 } ,  { ""PASSPORT"": 408 } ,  { ""PHONE"": 693 } ,  { ""PHONE_KEY"": 487 } ,  { ""SEARCH_KEY"": 604 } ,  { ""SSN"": 560 } ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 2887,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":4245 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":4298 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2835 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":2824 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":7154 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":7154 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":2548 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":4324 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":5017 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 12937 } ,  { ""ID_KEY"": 16474 } ,  { ""NAME_KEY"": 51221 } ,  { ""PHONE_KEY"": 4245 } ,  { ""SEARCH_KEY"": 5372 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 18751 } ,  { ""ADDRESS"": 61773 } ,  { ""DOB"": 15491 } ,  { ""DRLIC"": 19371 } ,  { ""GENDER"": 42498 } ,  { ""LOGIN_ID"": 17360 } ,  { ""NAME"": 50310 } ,  { ""PASSPORT"": 9130 } ,  { ""PHONE"": 33750 } ,  { ""SSN"": 26647 } ],  ""cacheHit"": [  { ""ADDRESS"": 24516 } ,  { ""DOB"": 5617 } ,  { ""DRLIC"": 7498 } ,  { ""NAME"": 21212 } ,  { ""PASSPORT"": 3698 } ,  { ""PHONE"": 13462 } ],  ""cacheMiss"": [  { ""ADDRESS"": 37257 } ,  { ""DOB"": 9874 } ,  { ""DRLIC"": 11873 } ,  { ""NAME"": 29098 } ,  { ""PASSPORT"": 5432 } ,  { ""PHONE"": 20288 } ],  ""redoTriggers"": [  { ""ADDR_KEY"": 10 } ,  { ""DRLIC"": 75 } ,  { ""ID_KEY"": 30 } ,  { ""LOGIN_ID"": 708 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDR_KEY"": 1 } ,  { ""DRLIC"": 6 } ,  { ""ID_KEY"": 6 } ,  { ""LOGIN_ID"": 159 } ,  { ""NAME_KEY"": 116 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 9602 } ,  { ""ADDR_KEY"": 13974 } ,  { ""DRLIC"": 9145 } ,  { ""ID_KEY"": 13805 } ,  { ""LOGIN_ID"": 7866 } ,  { ""NAME_KEY"": 14124 } ,  { ""PASSPORT"": 6665 } ,  { ""PHONE"": 11941 } ,  { ""PHONE_KEY"": 9390 } ,  { ""SEARCH_KEY"": 10794 } ,  { ""SSN"": 10901 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 20,""loader"": 15,""resolver"": 5,""scoring"": 4,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""29.9GB"" },{ ""availableMemory"": ""28.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""24.9GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ ] } ] } } }"
1676588613498,"Processed 10000 adds, 47 records per second"
