timestamp,message
1676587842839,"2023-02-16 22:50:42,839 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676587842840,"2023-02-16 22:50:42,840 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_sqs_consumer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676587842840,"2023-02-16 22:50:42,840 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676587842861,"2023-02-16 22:50:42,861 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676587842885,"2023-02-16 22:50:42,885 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676588292893,DeadLetter: https://queue.amazonaws.com/511635769224/Ron-100m-35-sqs-dead-letter
1676588292893,Threads: 20
1676588292893,Prefetch: 20
1676588292893,"Processed 10000 adds, 67 records per second"
1676588292893,"{ ""workload"": { ""loadedRecords"": 13386805,  ""addedRecords"": 10128,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2874896,  ""retries"": 1,  ""candidates"": 52151,  ""actualAmbiguousTest"": 178,  ""cachedAmbiguousTest"": 1,  ""libFeatCacheHit"": 433182,  ""libFeatCacheMiss"": 166905,  ""resFeatStatCacheHit"": 3069950,  ""resFeatStatCacheMiss"": 279654,  ""resFeatStatUpdate"": 186887,  ""unresolveTest"": 1534,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 3,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 1531,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 24,  ""multipleResolvableCandidates"" : 4,  ""resolveNewFeatures"" : 1730,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 615 } ,  { ""ADDRESS"": 1664 } ,  { ""ADDR_KEY"": 1509 } ,  { ""DOB"": 470 } ,  { ""DRLIC"": 905 } ,  { ""GENDER"": 619 } ,  { ""ID_KEY"": 1479 } ,  { ""LOGIN_ID"": 405 } ,  { ""NAME"": 1291 } ,  { ""NAME_KEY"": 1646 } ,  { ""PASSPORT"": 609 } ,  { ""PHONE"": 876 } ,  { ""PHONE_KEY"": 597 } ,  { ""SEARCH_KEY"": 806 } ,  { ""SSN"": 739 } ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 3829,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":5994 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":6081 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":4193 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":4020 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":10129 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":10129 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":3484 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":6041 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":7117 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 18432 } ,  { ""ID_KEY"": 23432 } ,  { ""NAME_KEY"": 72385 } ,  { ""PHONE_KEY"": 5994 } ,  { ""SEARCH_KEY"": 7504 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 24592 } ,  { ""ADDRESS"": 81447 } ,  { ""DOB"": 20082 } ,  { ""DRLIC"": 25624 } ,  { ""GENDER"": 56563 } ,  { ""LOGIN_ID"": 23114 } ,  { ""NAME"": 65557 } ,  { ""PASSPORT"": 12221 } ,  { ""PHONE"": 45028 } ,  { ""SSN"": 35157 } ],  ""cacheHit"": [  { ""ADDRESS"": 31599 } ,  { ""DOB"": 7166 } ,  { ""DRLIC"": 9678 } ,  { ""NAME"": 27148 } ,  { ""PASSPORT"": 4656 } ,  { ""PHONE"": 17647 } ],  ""cacheMiss"": [  { ""ADDRESS"": 49848 } ,  { ""DOB"": 12916 } ,  { ""DRLIC"": 15946 } ,  { ""NAME"": 38409 } ,  { ""PASSPORT"": 7565 } ,  { ""PHONE"": 27381 } ],  ""redoTriggers"": [  { ""ADDR_KEY"": 30 } ,  { ""DRLIC"": 202 } ,  { ""ID_KEY"": 15 } ,  { ""LOGIN_ID"": 732 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDR_KEY"": 3 } ,  { ""DRLIC"": 15 } ,  { ""ID_KEY"": 3 } ,  { ""LOGIN_ID"": 161 } ,  { ""NAME_KEY"": 148 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 12837 } ,  { ""ADDR_KEY"": 18935 } ,  { ""DRLIC"": 12504 } ,  { ""ID_KEY"": 18734 } ,  { ""LOGIN_ID"": 10606 } ,  { ""NAME_KEY"": 19118 } ,  { ""PASSPORT"": 9309 } ,  { ""PHONE"": 16127 } ,  { ""PHONE_KEY"": 12684 } ,  { ""SEARCH_KEY"": 14374 } ,  { ""SSN"": 14717 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 20,""loader"": 15,""resolver"": 5,""scoring"": 0,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""29.9GB"" },{ ""availableMemory"": ""28.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""24.6GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ ] } ] } } }"
