timestamp,message
1676588313085,"2023-02-16 22:58:33,085 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676588313086,"2023-02-16 22:58:33,085 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_sqs_consumer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676588313086,"2023-02-16 22:58:33,086 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676588313105,"2023-02-16 22:58:33,105 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676588313150,"2023-02-16 22:58:33,150 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676588763126,DeadLetter: https://queue.amazonaws.com/511635769224/Ron-100m-35-sqs-dead-letter
1676588763126,Threads: 20
1676588763126,Prefetch: 20
1676588763126,"{ ""workload"": { ""loadedRecords"": 14826609,  ""addedRecords"": 6030,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2883398,  ""retries"": 1,  ""candidates"": 33916,  ""actualAmbiguousTest"": 112,  ""cachedAmbiguousTest"": 0,  ""libFeatCacheHit"": 276216,  ""libFeatCacheMiss"": 107675,  ""resFeatStatCacheHit"": 2002032,  ""resFeatStatCacheMiss"": 180351,  ""resFeatStatUpdate"": 111335,  ""unresolveTest"": 1058,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 2,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 1056,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 8,  ""multipleResolvableCandidates"" : 0,  ""resolveNewFeatures"" : 1113,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 408 } ,  { ""ADDRESS"": 1072 } ,  { ""ADDR_KEY"": 971 } ,  { ""DOB"": 285 } ,  { ""DRLIC"": 574 } ,  { ""GENDER"": 396 } ,  { ""ID_KEY"": 912 } ,  { ""LOGIN_ID"": 274 } ,  { ""NAME"": 834 } ,  { ""NAME_KEY"": 1054 } ,  { ""PASSPORT"": 353 } ,  { ""PHONE"": 588 } ,  { ""PHONE_KEY"": 418 } ,  { ""SEARCH_KEY"": 523 } ,  { ""SSN"": 476 } ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 2407,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":3585 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":3703 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2342 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":2365 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":6021 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":6021 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":2119 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":3531 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":4184 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 10922 } ,  { ""ID_KEY"": 13760 } ,  { ""NAME_KEY"": 43214 } ,  { ""PHONE_KEY"": 3585 } ,  { ""SEARCH_KEY"": 4484 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 16268 } ,  { ""ADDRESS"": 54407 } ,  { ""DOB"": 13659 } ,  { ""DRLIC"": 17764 } ,  { ""GENDER"": 36895 } ,  { ""LOGIN_ID"": 14575 } ,  { ""NAME"": 43938 } ,  { ""PASSPORT"": 7703 } ,  { ""PHONE"": 30308 } ,  { ""SSN"": 23285 } ],  ""cacheHit"": [  { ""ADDRESS"": 21451 } ,  { ""DOB"": 5077 } ,  { ""DRLIC"": 6904 } ,  { ""NAME"": 18393 } ,  { ""PASSPORT"": 3115 } ,  { ""PHONE"": 12125 } ],  ""cacheMiss"": [  { ""ADDRESS"": 32956 } ,  { ""DOB"": 8582 } ,  { ""DRLIC"": 10860 } ,  { ""NAME"": 25545 } ,  { ""PASSPORT"": 4588 } ,  { ""PHONE"": 18183 } ],  ""redoTriggers"": [  { ""ADDR_KEY"": 30 } ,  { ""DRLIC"": 110 } ,  { ""ID_KEY"": 30 } ,  { ""LOGIN_ID"": 608 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDR_KEY"": 3 } ,  { ""DRLIC"": 4 } ,  { ""ID_KEY"": 6 } ,  { ""LOGIN_ID"": 145 } ,  { ""NAME_KEY"": 70 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 8139 } ,  { ""ADDR_KEY"": 11994 } ,  { ""DRLIC"": 8075 } ,  { ""ID_KEY"": 11840 } ,  { ""LOGIN_ID"": 6706 } ,  { ""NAME_KEY"": 12109 } ,  { ""PASSPORT"": 5706 } ,  { ""PHONE"": 10320 } ,  { ""PHONE_KEY"": 8138 } ,  { ""SEARCH_KEY"": 9244 } ,  { ""SSN"": 9339 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 20,""loader"": 15,""resolver"": 5,""scoring"": 2,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""29.9GB"" },{ ""availableMemory"": ""28.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""25.0GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ ] } ] } } }"
1676588763126,"Processed 10000 adds, 41 records per second"
