timestamp,message
1676587943149,"2023-02-16 22:52:23,149 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676587943150,"2023-02-16 22:52:23,150 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_sqs_consumer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676587943150,"2023-02-16 22:52:23,150 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676587943197,"2023-02-16 22:52:23,197 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676587943219,"2023-02-16 22:52:23,219 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676588393305,DeadLetter: https://queue.amazonaws.com/511635769224/Ron-100m-35-sqs-dead-letter
1676588393305,Threads: 20
1676588393305,Prefetch: 20
1676588393305,"{ ""workload"": { ""loadedRecords"": 13695385,  ""addedRecords"": 8710,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2885335,  ""retries"": 0,  ""candidates"": 46015,  ""actualAmbiguousTest"": 159,  ""cachedAmbiguousTest"": 0,  ""libFeatCacheHit"": 380987,  ""libFeatCacheMiss"": 146378,  ""resFeatStatCacheHit"": 2721985,  ""resFeatStatCacheMiss"": 246634,  ""resFeatStatUpdate"": 161071,  ""unresolveTest"": 1386,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 4,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 1382,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 35,  ""multipleResolvableCandidates"" : 1,  ""resolveNewFeatures"" : 1535,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 538 } ,  { ""ADDRESS"": 1486 } ,  { ""ADDR_KEY"": 1355 } ,  { ""DOB"": 404 } ,  { ""DRLIC"": 816 } ,  { ""GENDER"": 552 } ,  { ""ID_KEY"": 1312 } ,  { ""LOGIN_ID"": 358 } ,  { ""NAME"": 1162 } ,  { ""NAME_KEY"": 1461 } ,  { ""PASSPORT"": 521 } ,  { ""PHONE"": 787 } ,  { ""PHONE_KEY"": 535 } ,  { ""SEARCH_KEY"": 706 } ,  { ""SSN"": 668 } ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 3401,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":5170 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":5286 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":3453 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":3501 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":8710 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":8710 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":3081 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":5231 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":6178 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 15766 } ,  { ""ID_KEY"": 20148 } ,  { ""NAME_KEY"": 61849 } ,  { ""PHONE_KEY"": 5170 } ,  { ""SEARCH_KEY"": 6582 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 21975 } ,  { ""ADDRESS"": 72770 } ,  { ""DOB"": 17944 } ,  { ""DRLIC"": 23068 } ,  { ""GENDER"": 49913 } ,  { ""LOGIN_ID"": 20729 } ,  { ""NAME"": 57953 } ,  { ""PASSPORT"": 10651 } ,  { ""PHONE"": 40166 } ,  { ""SSN"": 30881 } ],  ""cacheHit"": [  { ""ADDRESS"": 28412 } ,  { ""DOB"": 6360 } ,  { ""DRLIC"": 8743 } ,  { ""NAME"": 23968 } ,  { ""PASSPORT"": 4158 } ,  { ""PHONE"": 15842 } ],  ""cacheMiss"": [  { ""ADDRESS"": 44358 } ,  { ""DOB"": 11584 } ,  { ""DRLIC"": 14325 } ,  { ""NAME"": 33985 } ,  { ""PASSPORT"": 6493 } ,  { ""PHONE"": 24324 } ],  ""redoTriggers"": [  { ""ADDR_KEY"": 30 } ,  { ""DRLIC"": 185 } ,  { ""ID_KEY"": 15 } ,  { ""LOGIN_ID"": 782 } ,  { ""SEARCH_KEY"": 20 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDR_KEY"": 3 } ,  { ""DRLIC"": 10 } ,  { ""ID_KEY"": 3 } ,  { ""LOGIN_ID"": 157 } ,  { ""NAME_KEY"": 122 } ,  { ""SEARCH_KEY"": 2 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 11397 } ,  { ""ADDR_KEY"": 16627 } ,  { ""DRLIC"": 11013 } ,  { ""ID_KEY"": 16448 } ,  { ""LOGIN_ID"": 9383 } ,  { ""NAME_KEY"": 16790 } ,  { ""PASSPORT"": 8039 } ,  { ""PHONE"": 14242 } ,  { ""PHONE_KEY"": 11201 } ,  { ""SEARCH_KEY"": 12756 } ,  { ""SSN"": 12968 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 17,""loader"": 7,""resolver"": 12,""scoring"": 5,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""29.9GB"" },{ ""availableMemory"": ""28.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""24.7GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ ] } ] } } }"
1676588393305,"Processed 10000 adds, 57 records per second"
1676588393305,"{ ""workload"": { ""loadedRecords"": 13703373,  ""addedRecords"": 7995,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2990265,  ""retries"": 1,  ""candidates"": 43207,  ""actualAmbiguousTest"": 153,  ""cachedAmbiguousTest"": 0,  ""libFeatCacheHit"": 355562,  ""libFeatCacheMiss"": 136712,  ""resFeatStatCacheHit"": 2540129,  ""resFeatStatCacheMiss"": 229525,  ""resFeatStatUpdate"": 147909,  ""unresolveTest"": 1318,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 5,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 1313,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 22,  ""multipleResolvableCandidates"" : 1,  ""resolveNewFeatures"" : 1375,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 484 } ,  { ""ADDRESS"": 1304 } ,  { ""ADDR_KEY"": 1176 } ,  { ""DOB"": 363 } ,  { ""DRLIC"": 753 } ,  { ""GENDER"": 440 } ,  { ""ID_KEY"": 1171 } ,  { ""LOGIN_ID"": 348 } ,  { ""NAME"": 1053 } ,  { ""NAME_KEY"": 1306 } ,  { ""PASSPORT"": 478 } ,  { ""PHONE"": 705 } ,  { ""PHONE_KEY"": 481 } ,  { ""SEARCH_KEY"": 656 } ,  { ""SSN"": 614 } ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 3084,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":4749 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":4783 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":3280 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":3155 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":7993 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":7993 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":2799 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":4699 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":5557 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 14533 } ,  { ""ID_KEY"": 18319 } ,  { ""NAME_KEY"": 56712 } ,  { ""PHONE_KEY"": 4749 } ,  { ""SEARCH_KEY"": 5954 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 20381 } ,  { ""ADDRESS"": 68572 } ,  { ""DOB"": 16854 } ,  { ""DRLIC"": 21799 } ,  { ""GENDER"": 46811 } ,  { ""LOGIN_ID"": 19221 } ,  { ""NAME"": 55165 } ,  { ""PASSPORT"": 10452 } ,  { ""PHONE"": 37359 } ,  { ""SSN"": 29153 } ],  ""cacheHit"": [  { ""ADDRESS"": 27010 } ,  { ""DOB"": 6006 } ,  { ""DRLIC"": 8226 } ,  { ""NAME"": 23133 } ,  { ""PASSPORT"": 4228 } ,  { ""PHONE"": 14795 } ],  ""cacheMiss"": [  { ""ADDRESS"": 41562 } ,  { ""DOB"": 10848 } ,  { ""DRLIC"": 13573 } ,  { ""NAME"": 32032 } ,  { ""PASSPORT"": 6224 } ,  { ""PHONE"": 22564 } ],  ""redoTriggers"": [  { ""ADDR_KEY"": 30 } ,  { ""DRLIC"": 90 } ,  { ""ID_KEY"": 15 } ,  { ""LOGIN_ID"": 637 } ,  { ""SEARCH_KEY"": 30 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDR_KEY"": 5 } ,  { ""DRLIC"": 9 } ,  { ""ID_KEY"": 3 } ,  { ""LOGIN_ID"": 142 } ,  { ""NAME_KEY"": 122 } ,  { ""SEARCH_KEY"": 3 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 10489 } ,  { ""ADDR_KEY"": 15481 } ,  { ""DRLIC"": 10171 } ,  { ""ID_KEY"": 15265 } ,  { ""LOGIN_ID"": 8630 } ,  { ""NAME_KEY"": 15611 } ,  { ""PASSPORT"": 7594 } ,  { ""PHONE"": 13186 } ,  { ""PHONE_KEY"": 10363 } ,  { ""SEARCH_KEY"": 11818 } ,  { ""SSN"": 11980 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 18,""loader"": 11,""resolver"": 8,""scoring"": 1,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""29.9GB"" },{ ""availableMemory"": ""28.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""23.8GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ { ""cpuUser"": 30.342649 }, { ""cpuSystem"": 3.939534 }, { ""cpuIdle"": 61.488308 }, { ""cpuWait"": 0.008579 }, { ""cpuSoftIrq"": 3.677013 }, { ""cpuSteal"": 0.543917 }] } ] } } }"
1676588393305,"Processed 20000 adds, 52 records per second"
