timestamp,message
1676595182456,"2023-02-17 00:53:02,456 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676595182456,"2023-02-17 00:53:02,456 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_simple_redoer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676595182456,"2023-02-17 00:53:02,456 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676595182479,"2023-02-17 00:53:02,479 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676595182499,"2023-02-17 00:53:02,499 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676595482473,Threads: 20
1676595482473,"Processed 1000 redo, 53 records per second"
1676595482473,No redo records available. Pausing for 10 seconds.
1676595482473,"Processed 2000 redo, 44 records per second"
1676595482473,No redo records available. Pausing for 10 seconds.
1676595482473,No redo records available. Pausing for 10 seconds.
1676595482473,"Processed 3000 redo, 26 records per second"
1676595482473,No redo records available. Pausing for 10 seconds.
1676595482473,No redo records available. Pausing for 10 seconds.
1676595482473,"Processed 4000 redo, 32 records per second"
1676595482473,No redo records available. Pausing for 10 seconds.
1676595482473,"Processed 5000 redo, 50 records per second"
1676595482473,No redo records available. Pausing for 10 seconds.
1676595482473,"Processed 6000 redo, 49 records per second"
