timestamp,message
1676617268215,"2023-02-17 07:01:08,215 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676617268216,"2023-02-17 07:01:08,216 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_simple_redoer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676617268216,"2023-02-17 07:01:08,216 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676617268244,"2023-02-17 07:01:08,244 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676617268269,"2023-02-17 07:01:08,269 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-100m-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676617575910,Threads: 20
1676617575910,"Processed 1000 redo, 42 records per second"
1676617575910,No redo records available. Pausing for 10 seconds.
1676617575910,"Processed 2000 redo, 30 records per second"
1676617575910,No redo records available. Pausing for 10 seconds.
1676617575910,"Processed 3000 redo, 26 records per second"
1676617575910,No redo records available. Pausing for 10 seconds.
1676617575910,"Processed 4000 redo, 26 records per second"
1676617575910,No redo records available. Pausing for 10 seconds.
