timestamp,message
1676741300840,"2023-02-18 17:28:20,840 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676741300841,"2023-02-18 17:28:20,841 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_sqs_consumer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676741300841,"2023-02-18 17:28:20,841 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676741300870,"2023-02-18 17:28:20,870 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676741300925,"2023-02-18 17:28:20,925 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676741750931,DeadLetter: https://queue.amazonaws.com/511635769224/Ron-perf-35-sqs-dead-letter
1676741750931,Threads: 20
1676741750931,Prefetch: 20
1676741750931,"{ ""workload"": { ""loadedRecords"": 78041531,  ""addedRecords"": 3798,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2978424,  ""retries"": 0,  ""candidates"": 69348,  ""actualAmbiguousTest"": 704,  ""cachedAmbiguousTest"": 38,  ""libFeatCacheHit"": 328038,  ""libFeatCacheMiss"": 281498,  ""resFeatStatCacheHit"": 3720938,  ""resFeatStatCacheMiss"": 368246,  ""resFeatStatUpdate"": 73994,  ""unresolveTest"": 670,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 21,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 648,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 34,  ""multipleResolvableCandidates"" : 9,  ""resolveNewFeatures"" : 1913,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 913 } ,  { ""ADDRESS"": 1857 } ,  { ""ADDR_KEY"": 1739 } ,  { ""DOB"": 681 } ,  { ""DRLIC"": 1294 } ,  { ""GENDER"": 939 } ,  { ""ID_KEY"": 1734 } ,  { ""LOGIN_ID"": 37 } ,  { ""NAME"": 1667 } ,  { ""NAME_KEY"": 1857 } ,  { ""PASSPORT"": 998 } ,  { ""PHONE"": 1317 } ,  { ""PHONE_KEY"": 927 } ,  { ""SEARCH_KEY"": 1047 } ,  { ""SSN"": 1114 } ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 2551,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":2227 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2264 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1500 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1489 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":3793 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":3793 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1232 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2252 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2660 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 6892 } ,  { ""ID_KEY"": 8676 } ,  { ""NAME_KEY"": 26867 } ,  { ""PHONE_KEY"": 2227 } ,  { ""SEARCH_KEY"": 2721 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 57841 } ,  { ""ADDRESS"": 351657 } ,  { ""DOB"": 39158 } ,  { ""DRLIC"": 79815 } ,  { ""GENDER"": 88876 } ,  { ""LOGIN_ID"": 2126 } ,  { ""NAME"": 196406 } ,  { ""PASSPORT"": 38433 } ,  { ""PHONE"": 110117 } ,  { ""SSN"": 90936 } ],  ""cacheHit"": [  { ""ADDRESS"": 160996 } ,  { ""DOB"": 19761 } ,  { ""DRLIC"": 34509 } ,  { ""NAME"": 83038 } ,  { ""PASSPORT"": 18737 } ,  { ""PHONE"": 54717 } ],  ""cacheMiss"": [  { ""ADDRESS"": 190661 } ,  { ""DOB"": 19397 } ,  { ""DRLIC"": 45306 } ,  { ""NAME"": 113368 } ,  { ""PASSPORT"": 19696 } ,  { ""PHONE"": 55400 } ],  ""redoTriggers"": [  { ""ADDR_KEY"": 90 } ,  { ""DRLIC"": 35 } ,  { ""ID_KEY"": 15 } ,  { ""LOGIN_ID"": 271 } ,  { ""SEARCH_KEY"": 1240 } ,  { ""SSN"": 5 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDR_KEY"": 11 } ,  { ""DRLIC"": 10 } ,  { ""ID_KEY"": 3 } ,  { ""LOGIN_ID"": 93 } ,  { ""NAME_KEY"": 56 } ,  { ""SEARCH_KEY"": 128 } ,  { ""SSN"": 1 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 9085 } ,  { ""ADDR_KEY"": 11794 } ,  { ""DRLIC"": 8688 } ,  { ""ID_KEY"": 11734 } ,  { ""LOGIN_ID"": 853 } ,  { ""NAME_KEY"": 11910 } ,  { ""PASSPORT"": 7181 } ,  { ""PHONE"": 10580 } ,  { ""PHONE_KEY"": 8887 } ,  { ""SEARCH_KEY"": 8105 } ,  { ""SSN"": 9941 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 20,""loader"": 4,""resolver"": 16,""scoring"": 10,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""29.9GB"" },{ ""availableMemory"": ""28.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""24.3GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ ] } ] } } }"
1676741750931,"{ ""workload"": { ""loadedRecords"": 78044530,  ""addedRecords"": 2999,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2980037,  ""retries"": 0,  ""candidates"": 55852,  ""actualAmbiguousTest"": 518,  ""cachedAmbiguousTest"": 40,  ""libFeatCacheHit"": 255262,  ""libFeatCacheMiss"": 231060,  ""resFeatStatCacheHit"": 2970221,  ""resFeatStatCacheMiss"": 300947,  ""resFeatStatUpdate"": 56936,  ""unresolveTest"": 499,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 10,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 489,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 19,  ""multipleResolvableCandidates"" : 8,  ""resolveNewFeatures"" : 1578,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 778 } ,  { ""ADDRESS"": 1547 } ,  { ""ADDR_KEY"": 1458 } ,  { ""DOB"": 533 } ,  { ""DRLIC"": 1066 } ,  { ""GENDER"": 793 } ,  { ""ID_KEY"": 1441 } ,  { ""LOGIN_ID"": 28 } ,  { ""NAME"": 1351 } ,  { ""NAME_KEY"": 1534 } ,  { ""PASSPORT"": 822 } ,  { ""PHONE"": 1066 } ,  { ""PHONE_KEY"": 769 } ,  { ""SEARCH_KEY"": 866 } ,  { ""SSN"": 947 } ]  }, ""reresolveSkipped"" : 1,  ""filteredObsFeat"" : 1963,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":1754 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1777 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1216 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1213 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":2993 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":2993 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1088 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1790 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2125 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 5396 } ,  { ""ID_KEY"": 6908 } ,  { ""NAME_KEY"": 21240 } ,  { ""PHONE_KEY"": 1754 } ,  { ""SEARCH_KEY"": 2301 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 47624 } ,  { ""ADDRESS"": 288354 } ,  { ""DOB"": 32808 } ,  { ""DRLIC"": 67348 } ,  { ""GENDER"": 72604 } ,  { ""LOGIN_ID"": 1956 } ,  { ""NAME"": 157976 } ,  { ""PASSPORT"": 31499 } ,  { ""PHONE"": 89703 } ,  { ""SSN"": 76353 } ],  ""cacheHit"": [  { ""ADDRESS"": 131154 } ,  { ""DOB"": 16389 } ,  { ""DRLIC"": 28819 } ,  { ""NAME"": 66252 } ,  { ""PASSPORT"": 15021 } ,  { ""PHONE"": 44413 } ],  ""cacheMiss"": [  { ""ADDRESS"": 157200 } ,  { ""DOB"": 16419 } ,  { ""DRLIC"": 38529 } ,  { ""NAME"": 91724 } ,  { ""PASSPORT"": 16478 } ,  { ""PHONE"": 45290 } ],  ""redoTriggers"": [  { ""ADDR_KEY"": 60 } ,  { ""DRLIC"": 50 } ,  { ""ID_KEY"": 10 } ,  { ""LOGIN_ID"": 233 } ,  { ""SEARCH_KEY"": 900 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDR_KEY"": 6 } ,  { ""DRLIC"": 20 } ,  { ""ID_KEY"": 2 } ,  { ""LOGIN_ID"": 78 } ,  { ""NAME_KEY"": 55 } ,  { ""SEARCH_KEY"": 98 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 7111 } ,  { ""ADDR_KEY"": 9172 } ,  { ""DRLIC"": 6704 } ,  { ""ID_KEY"": 9124 } ,  { ""LOGIN_ID"": 765 } ,  { ""NAME_KEY"": 9257 } ,  { ""PASSPORT"": 5548 } ,  { ""PHONE"": 8230 } ,  { ""PHONE_KEY"": 6863 } ,  { ""SEARCH_KEY"": 6471 } ,  { ""SSN"": 7873 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 20,""loader"": 4,""resolver"": 16,""scoring"": 7,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""29.9GB"" },{ ""availableMemory"": ""28.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""23.6GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ { ""cpuUser"": 22.372627 }, { ""cpuSystem"": 2.674802 }, { ""cpuIdle"": 72.149582 }, { ""cpuWait"": 0.003418 }, { ""cpuSoftIrq"": 2.312465 }, { ""cpuSteal"": 0.487105 }] } ] } } }"
