timestamp,message
1676741063248,"2023-02-18 17:24:23,248 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676741063249,"2023-02-18 17:24:23,248 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_sqs_consumer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676741063249,"2023-02-18 17:24:23,249 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676741063273,"2023-02-18 17:24:23,273 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676741063327,"2023-02-18 17:24:23,326 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676741513270,DeadLetter: https://queue.amazonaws.com/511635769224/Ron-perf-35-sqs-dead-letter
1676741513270,Threads: 20
1676741513270,Prefetch: 20
1676741513270,"{ ""workload"": { ""loadedRecords"": 77795314,  ""addedRecords"": 3943,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2977264,  ""retries"": 0,  ""candidates"": 72988,  ""actualAmbiguousTest"": 679,  ""cachedAmbiguousTest"": 24,  ""libFeatCacheHit"": 325766,  ""libFeatCacheMiss"": 304577,  ""resFeatStatCacheHit"": 3798152,  ""resFeatStatCacheMiss"": 393548,  ""resFeatStatUpdate"": 75025,  ""unresolveTest"": 615,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 11,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 602,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 45,  ""multipleResolvableCandidates"" : 13,  ""resolveNewFeatures"" : 1997,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 962 } ,  { ""ADDRESS"": 1945 } ,  { ""ADDR_KEY"": 1843 } ,  { ""DOB"": 711 } ,  { ""DRLIC"": 1389 } ,  { ""GENDER"": 989 } ,  { ""ID_KEY"": 1814 } ,  { ""LOGIN_ID"": 32 } ,  { ""NAME"": 1717 } ,  { ""NAME_KEY"": 1939 } ,  { ""PASSPORT"": 1039 } ,  { ""PHONE"": 1359 } ,  { ""PHONE_KEY"": 969 } ,  { ""SEARCH_KEY"": 1125 } ,  { ""SSN"": 1186 } ]  }, ""reresolveSkipped"" : 1,  ""filteredObsFeat"" : 2680,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":2336 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2349 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1577 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1602 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":3943 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":3943 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1373 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2333 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2770 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 7168 } ,  { ""ID_KEY"": 9029 } ,  { ""NAME_KEY"": 28258 } ,  { ""PHONE_KEY"": 2336 } ,  { ""SEARCH_KEY"": 2975 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 61999 } ,  { ""ADDRESS"": 374912 } ,  { ""DOB"": 42469 } ,  { ""DRLIC"": 85797 } ,  { ""GENDER"": 94191 } ,  { ""LOGIN_ID"": 1856 } ,  { ""NAME"": 206880 } ,  { ""PASSPORT"": 42086 } ,  { ""PHONE"": 116383 } ,  { ""SSN"": 97551 } ],  ""cacheHit"": [  { ""ADDRESS"": 170296 } ,  { ""DOB"": 20891 } ,  { ""DRLIC"": 36388 } ,  { ""NAME"": 85622 } ,  { ""PASSPORT"": 20059 } ,  { ""PHONE"": 57076 } ],  ""cacheMiss"": [  { ""ADDRESS"": 204616 } ,  { ""DOB"": 21578 } ,  { ""DRLIC"": 49409 } ,  { ""NAME"": 121258 } ,  { ""PASSPORT"": 22027 } ,  { ""PHONE"": 59307 } ],  ""redoTriggers"": [  { ""ADDR_KEY"": 90 } ,  { ""DRLIC"": 25 } ,  { ""ID_KEY"": 35 } ,  { ""LOGIN_ID"": 266 } ,  { ""SEARCH_KEY"": 980 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDR_KEY"": 9 } ,  { ""DRLIC"": 18 } ,  { ""ID_KEY"": 22 } ,  { ""LOGIN_ID"": 76 } ,  { ""NAME_KEY"": 57 } ,  { ""SEARCH_KEY"": 114 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 8988 } ,  { ""ADDR_KEY"": 11695 } ,  { ""DRLIC"": 8600 } ,  { ""ID_KEY"": 11622 } ,  { ""LOGIN_ID"": 715 } ,  { ""NAME_KEY"": 11803 } ,  { ""PASSPORT"": 7106 } ,  { ""PHONE"": 10474 } ,  { ""PHONE_KEY"": 8891 } ,  { ""SEARCH_KEY"": 8128 } ,  { ""SSN"": 9878 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 19,""loader"": 6,""resolver"": 14,""scoring"": 5,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""29.9GB"" },{ ""availableMemory"": ""28.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""24.2GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ ] } ] } } }"
1676741513270,"{ ""workload"": { ""loadedRecords"": 77799595,  ""addedRecords"": 4282,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 3001826,  ""retries"": 0,  ""candidates"": 78706,  ""actualAmbiguousTest"": 747,  ""cachedAmbiguousTest"": 32,  ""libFeatCacheHit"": 369080,  ""libFeatCacheMiss"": 321310,  ""resFeatStatCacheHit"": 4189734,  ""resFeatStatCacheMiss"": 419541,  ""resFeatStatUpdate"": 83324,  ""unresolveTest"": 712,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 18,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 693,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 36,  ""multipleResolvableCandidates"" : 11,  ""resolveNewFeatures"" : 2151,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 992 } ,  { ""ADDRESS"": 2102 } ,  { ""ADDR_KEY"": 1972 } ,  { ""DOB"": 759 } ,  { ""DRLIC"": 1491 } ,  { ""GENDER"": 1087 } ,  { ""ID_KEY"": 1962 } ,  { ""LOGIN_ID"": 51 } ,  { ""NAME"": 1834 } ,  { ""NAME_KEY"": 2094 } ,  { ""PASSPORT"": 1122 } ,  { ""PHONE"": 1443 } ,  { ""PHONE_KEY"": 1045 } ,  { ""SEARCH_KEY"": 1210 } ,  { ""SSN"": 1246 } ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 2928,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":2525 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2581 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1657 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1648 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":4281 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":4281 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1454 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2610 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2981 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 7802 } ,  { ""ID_KEY"": 9829 } ,  { ""NAME_KEY"": 30753 } ,  { ""PHONE_KEY"": 2525 } ,  { ""SEARCH_KEY"": 3102 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 66614 } ,  { ""ADDRESS"": 398013 } ,  { ""DOB"": 45315 } ,  { ""DRLIC"": 91778 } ,  { ""GENDER"": 101735 } ,  { ""LOGIN_ID"": 2997 } ,  { ""NAME"": 220729 } ,  { ""PASSPORT"": 43719 } ,  { ""PHONE"": 125853 } ,  { ""SSN"": 102221 } ],  ""cacheHit"": [  { ""ADDRESS"": 182364 } ,  { ""DOB"": 22684 } ,  { ""DRLIC"": 39409 } ,  { ""NAME"": 93379 } ,  { ""PASSPORT"": 21300 } ,  { ""PHONE"": 62963 } ],  ""cacheMiss"": [  { ""ADDRESS"": 215649 } ,  { ""DOB"": 22631 } ,  { ""DRLIC"": 52369 } ,  { ""NAME"": 127350 } ,  { ""PASSPORT"": 22419 } ,  { ""PHONE"": 62890 } ],  ""redoTriggers"": [  { ""ADDRESS"": 30 } ,  { ""ADDR_KEY"": 80 } ,  { ""DRLIC"": 125 } ,  { ""ID_KEY"": 35 } ,  { ""LOGIN_ID"": 306 } ,  { ""SEARCH_KEY"": 1420 } ,  { ""SSN"": 5 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDRESS"": 1 } ,  { ""ADDR_KEY"": 8 } ,  { ""DRLIC"": 12 } ,  { ""ID_KEY"": 8 } ,  { ""LOGIN_ID"": 108 } ,  { ""NAME_KEY"": 59 } ,  { ""SEARCH_KEY"": 144 } ,  { ""SSN"": 1 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 10225 } ,  { ""ADDR_KEY"": 13165 } ,  { ""DRLIC"": 9768 } ,  { ""ID_KEY"": 13058 } ,  { ""LOGIN_ID"": 1135 } ,  { ""NAME_KEY"": 13263 } ,  { ""PASSPORT"": 7908 } ,  { ""PHONE"": 11807 } ,  { ""PHONE_KEY"": 9895 } ,  { ""SEARCH_KEY"": 9127 } ,  { ""SSN"": 11057 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 20,""loader"": 10,""resolver"": 9,""scoring"": 5,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""29.9GB"" },{ ""availableMemory"": ""28.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""23.6GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ { ""cpuUser"": 33.358280 }, { ""cpuSystem"": 3.695066 }, { ""cpuIdle"": 59.075798 }, { ""cpuWait"": 0.005221 }, { ""cpuSoftIrq"": 3.395701 }, { ""cpuSteal"": 0.469933 }] } ] } } }"
