timestamp,message
1676760092982,"2023-02-18 22:41:32,982 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676760092982,"2023-02-18 22:41:32,982 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_sqs_consumer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676760092982,"2023-02-18 22:41:32,982 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676760093007,"2023-02-18 22:41:33,007 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676760093034,"2023-02-18 22:41:33,033 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676760543467,DeadLetter: https://queue.amazonaws.com/511635769224/Ron-perf-35-sqs-dead-letter
1676760543467,Threads: 20
1676760543467,Prefetch: 20
1676760543467,"{ ""workload"": { ""loadedRecords"": -1,  ""addedRecords"": 2475,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2871599,  ""retries"": 2,  ""candidates"": 51608,  ""actualAmbiguousTest"": 606,  ""cachedAmbiguousTest"": 35,  ""libFeatCacheHit"": 232680,  ""libFeatCacheMiss"": 223162,  ""resFeatStatCacheHit"": 2932542,  ""resFeatStatCacheMiss"": 283415,  ""resFeatStatUpdate"": 49534,  ""unresolveTest"": 420,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 12,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 407,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 15,  ""multipleResolvableCandidates"" : 3,  ""resolveNewFeatures"" : 1308,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 690 } ,  { ""ADDRESS"": 1278 } ,  { ""ADDR_KEY"": 1220 } ,  { ""DOB"": 491 } ,  { ""DRLIC"": 920 } ,  { ""GENDER"": 676 } ,  { ""ID_KEY"": 1210 } ,  { ""LOGIN_ID"": 16 } ,  { ""NAME"": 1150 } ,  { ""NAME_KEY"": 1272 } ,  { ""PASSPORT"": 732 } ,  { ""PHONE"": 934 } ,  { ""PHONE_KEY"": 667 } ,  { ""SEARCH_KEY"": 716 } ,  { ""SSN"": 786 } ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 1783,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":1493 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1533 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":988 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":983 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":2476 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":2476 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":843 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1480 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1731 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 4491 } ,  { ""ID_KEY"": 5732 } ,  { ""NAME_KEY"": 17898 } ,  { ""PHONE_KEY"": 1493 } ,  { ""SEARCH_KEY"": 1826 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 47257 } ,  { ""ADDRESS"": 312082 } ,  { ""DOB"": 30982 } ,  { ""DRLIC"": 69146 } ,  { ""GENDER"": 67804 } ,  { ""LOGIN_ID"": 937 } ,  { ""NAME"": 168030 } ,  { ""PASSPORT"": 32464 } ,  { ""PHONE"": 90053 } ,  { ""SSN"": 74849 } ],  ""cacheHit"": [  { ""ADDRESS"": 142569 } ,  { ""DOB"": 15904 } ,  { ""DRLIC"": 29893 } ,  { ""NAME"": 69959 } ,  { ""PASSPORT"": 15677 } ,  { ""PHONE"": 45341 } ],  ""cacheMiss"": [  { ""ADDRESS"": 169513 } ,  { ""DOB"": 15078 } ,  { ""DRLIC"": 39253 } ,  { ""NAME"": 98071 } ,  { ""PASSPORT"": 16787 } ,  { ""PHONE"": 44712 } ],  ""redoTriggers"": [  { ""ADDR_KEY"": 100 } ,  { ""DRLIC"": 26 } ,  { ""ID_KEY"": 5 } ,  { ""LOGIN_ID"": 90 } ,  { ""SEARCH_KEY"": 680 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDR_KEY"": 10 } ,  { ""DRLIC"": 20 } ,  { ""ID_KEY"": 1 } ,  { ""LOGIN_ID"": 55 } ,  { ""NAME_KEY"": 31 } ,  { ""SEARCH_KEY"": 88 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 6511 } ,  { ""ADDR_KEY"": 8254 } ,  { ""DRLIC"": 6263 } ,  { ""ID_KEY"": 8262 } ,  { ""LOGIN_ID"": 336 } ,  { ""NAME_KEY"": 8363 } ,  { ""PASSPORT"": 5136 } ,  { ""PHONE"": 7512 } ,  { ""PHONE_KEY"": 6418 } ,  { ""SEARCH_KEY"": 5581 } ,  { ""SSN"": 7080 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": {  ""MISSING_RES_ENT_AND_OKEY"": 1},  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 20,""loader"": 7,""resolver"": 13,""scoring"": 3,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""30.8GB"" },{ ""availableMemory"": ""29.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""25.6GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ ] } ] } } }"
1676760543467,"{ ""workload"": { ""loadedRecords"": -1,  ""addedRecords"": 2519,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2846551,  ""retries"": 0,  ""candidates"": 52206,  ""actualAmbiguousTest"": 601,  ""cachedAmbiguousTest"": 39,  ""libFeatCacheHit"": 243772,  ""libFeatCacheMiss"": 219256,  ""resFeatStatCacheHit"": 3006097,  ""resFeatStatCacheMiss"": 281522,  ""resFeatStatUpdate"": 51663,  ""unresolveTest"": 449,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 15,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 434,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 18,  ""multipleResolvableCandidates"" : 4,  ""resolveNewFeatures"" : 1349,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 642 } ,  { ""ADDRESS"": 1318 } ,  { ""ADDR_KEY"": 1240 } ,  { ""DOB"": 485 } ,  { ""DRLIC"": 927 } ,  { ""GENDER"": 717 } ,  { ""ID_KEY"": 1230 } ,  { ""LOGIN_ID"": 14 } ,  { ""NAME"": 1182 } ,  { ""NAME_KEY"": 1330 } ,  { ""PASSPORT"": 728 } ,  { ""PHONE"": 916 } ,  { ""PHONE_KEY"": 661 } ,  { ""SEARCH_KEY"": 740 } ,  { ""SSN"": 802 } ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 1753,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":1522 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1563 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1002 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":994 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":2519 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":2519 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":895 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1503 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1758 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 4551 } ,  { ""ID_KEY"": 5826 } ,  { ""NAME_KEY"": 17982 } ,  { ""PHONE_KEY"": 1522 } ,  { ""SEARCH_KEY"": 1889 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 46572 } ,  { ""ADDRESS"": 313903 } ,  { ""DOB"": 31454 } ,  { ""DRLIC"": 68519 } ,  { ""GENDER"": 68866 } ,  { ""LOGIN_ID"": 911 } ,  { ""NAME"": 166753 } ,  { ""PASSPORT"": 32561 } ,  { ""PHONE"": 89053 } ,  { ""SSN"": 76134 } ],  ""cacheHit"": [  { ""ADDRESS"": 146145 } ,  { ""DOB"": 16389 } ,  { ""DRLIC"": 30017 } ,  { ""NAME"": 71501 } ,  { ""PASSPORT"": 16262 } ,  { ""PHONE"": 45555 } ],  ""cacheMiss"": [  { ""ADDRESS"": 167758 } ,  { ""DOB"": 15065 } ,  { ""DRLIC"": 38502 } ,  { ""NAME"": 95252 } ,  { ""PASSPORT"": 16299 } ,  { ""PHONE"": 43498 } ],  ""redoTriggers"": [  { ""ADDR_KEY"": 30 } ,  { ""DRLIC"": 10 } ,  { ""LOGIN_ID"": 95 } ,  { ""PHONE"": 10 } ,  { ""SEARCH_KEY"": 740 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDR_KEY"": 3 } ,  { ""DRLIC"": 17 } ,  { ""ID_KEY"": 2 } ,  { ""LOGIN_ID"": 40 } ,  { ""NAME_KEY"": 30 } ,  { ""PHONE"": 1 } ,  { ""SEARCH_KEY"": 107 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 6775 } ,  { ""ADDR_KEY"": 8563 } ,  { ""DRLIC"": 6599 } ,  { ""ID_KEY"": 8559 } ,  { ""LOGIN_ID"": 332 } ,  { ""NAME_KEY"": 8665 } ,  { ""PASSPORT"": 5409 } ,  { ""PHONE"": 7704 } ,  { ""PHONE_KEY"": 6589 } ,  { ""SEARCH_KEY"": 5861 } ,  { ""SSN"": 7359 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": {  ""MISSING_RES_ENT_AND_OKEY"": 1},  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 20,""loader"": 7,""resolver"": 12,""scoring"": 12,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""30.8GB"" },{ ""availableMemory"": ""29.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""24.7GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ { ""cpuUser"": 11.429299 }, { ""cpuSystem"": 1.022505 }, { ""cpuIdle"": 86.024628 }, { ""cpuWait"": 0.006794 }, { ""cpuSoftIrq"": 1.503185 }, { ""cpuSteal"": 0.013588 }] } ] } } }"
