timestamp,message
1676741214384,"2023-02-18 17:26:54,384 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676741214384,"2023-02-18 17:26:54,384 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_sqs_consumer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676741214385,"2023-02-18 17:26:54,384 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676741214407,"2023-02-18 17:26:54,406 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676741214489,"2023-02-18 17:26:54,489 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676741664595,DeadLetter: https://queue.amazonaws.com/511635769224/Ron-perf-35-sqs-dead-letter
1676741664595,Threads: 20
1676741664595,Prefetch: 20
1676741664595,"{ ""workload"": { ""loadedRecords"": 77955576,  ""addedRecords"": 3878,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2964869,  ""retries"": 0,  ""candidates"": 69714,  ""actualAmbiguousTest"": 680,  ""cachedAmbiguousTest"": 37,  ""libFeatCacheHit"": 326539,  ""libFeatCacheMiss"": 285259,  ""resFeatStatCacheHit"": 3662006,  ""resFeatStatCacheMiss"": 372226,  ""resFeatStatUpdate"": 76181,  ""unresolveTest"": 662,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 13,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 648,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 46,  ""multipleResolvableCandidates"" : 9,  ""resolveNewFeatures"" : 1890,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 907 } ,  { ""ADDRESS"": 1845 } ,  { ""ADDR_KEY"": 1729 } ,  { ""DOB"": 640 } ,  { ""DRLIC"": 1254 } ,  { ""GENDER"": 943 } ,  { ""ID_KEY"": 1719 } ,  { ""LOGIN_ID"": 36 } ,  { ""NAME"": 1603 } ,  { ""NAME_KEY"": 1842 } ,  { ""PASSPORT"": 960 } ,  { ""PHONE"": 1283 } ,  { ""PHONE_KEY"": 895 } ,  { ""SEARCH_KEY"": 1006 } ,  { ""SSN"": 1067 } ]  }, ""reresolveSkipped"" : 1,  ""filteredObsFeat"" : 2730,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":2322 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2315 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1561 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1588 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":3877 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":3878 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1345 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2357 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2694 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 7034 } ,  { ""ID_KEY"": 8927 } ,  { ""NAME_KEY"": 27892 } ,  { ""PHONE_KEY"": 2322 } ,  { ""SEARCH_KEY"": 2933 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 58796 } ,  { ""ADDRESS"": 341540 } ,  { ""DOB"": 39674 } ,  { ""DRLIC"": 79648 } ,  { ""GENDER"": 89550 } ,  { ""LOGIN_ID"": 2461 } ,  { ""NAME"": 191622 } ,  { ""PASSPORT"": 37442 } ,  { ""PHONE"": 109229 } ,  { ""SSN"": 88401 } ],  ""cacheHit"": [  { ""ADDRESS"": 156533 } ,  { ""DOB"": 19637 } ,  { ""DRLIC"": 34175 } ,  { ""NAME"": 79686 } ,  { ""PASSPORT"": 18055 } ,  { ""PHONE"": 53991 } ],  ""cacheMiss"": [  { ""ADDRESS"": 185007 } ,  { ""DOB"": 20037 } ,  { ""DRLIC"": 45473 } ,  { ""NAME"": 111936 } ,  { ""PASSPORT"": 19387 } ,  { ""PHONE"": 55238 } ],  ""redoTriggers"": [  { ""ADDR_KEY"": 90 } ,  { ""DRLIC"": 55 } ,  { ""ID_KEY"": 30 } ,  { ""LOGIN_ID"": 268 } ,  { ""SEARCH_KEY"": 1081 } ,  { ""SSN"": 5 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ADDR_KEY"": 9 } ,  { ""DRLIC"": 16 } ,  { ""ID_KEY"": 12 } ,  { ""LOGIN_ID"": 80 } ,  { ""NAME_KEY"": 51 } ,  { ""PASSPORT"": 5 } ,  { ""SEARCH_KEY"": 117 } ,  { ""SSN"": 1 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 9128 } ,  { ""ADDR_KEY"": 11797 } ,  { ""DRLIC"": 8572 } ,  { ""ID_KEY"": 11724 } ,  { ""LOGIN_ID"": 967 } ,  { ""NAME_KEY"": 11889 } ,  { ""PASSPORT"": 7097 } ,  { ""PHONE"": 10538 } ,  { ""PHONE_KEY"": 8966 } ,  { ""SEARCH_KEY"": 8112 } ,  { ""SSN"": 9938 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 20,""loader"": 2,""resolver"": 19,""scoring"": 11,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""29.9GB"" },{ ""availableMemory"": ""28.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""24.3GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ ] } ] } } }"
1676741664595,"{ ""workload"": { ""loadedRecords"": 77959108,  ""addedRecords"": 3549,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2998469,  ""retries"": 0,  ""candidates"": 64260,  ""actualAmbiguousTest"": 627,  ""cachedAmbiguousTest"": 28,  ""libFeatCacheHit"": 292204,  ""libFeatCacheMiss"": 266862,  ""resFeatStatCacheHit"": 3334227,  ""resFeatStatCacheMiss"": 345714,  ""resFeatStatUpdate"": 67552,  ""unresolveTest"": 586,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 10,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 573,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 31,  ""multipleResolvableCandidates"" : 7,  ""resolveNewFeatures"" : 1736,  ""newFeatureFTypes"": [  { ""ACCT_NUM"": 833 } ,  { ""ADDRESS"": 1691 } ,  { ""ADDR_KEY"": 1600 } ,  { ""DOB"": 633 } ,  { ""DRLIC"": 1200 } ,  { ""GENDER"": 865 } ,  { ""ID_KEY"": 1571 } ,  { ""LOGIN_ID"": 35 } ,  { ""NAME"": 1503 } ,  { ""NAME_KEY"": 1696 } ,  { ""PASSPORT"": 884 } ,  { ""PHONE"": 1206 } ,  { ""PHONE_KEY"": 831 } ,  { ""SEARCH_KEY"": 979 } ,  { ""SSN"": 1018 } ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 2486,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":2078 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2083 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":1424 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1417 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":3532 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":3532 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1218 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2104 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2436 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 6408 } ,  { ""ID_KEY"": 8047 } ,  { ""NAME_KEY"": 25179 } ,  { ""PHONE_KEY"": 2078 } ,  { ""SEARCH_KEY"": 2635 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 53365 } ,  { ""ADDRESS"": 320946 } ,  { ""DOB"": 37406 } ,  { ""DRLIC"": 74811 } ,  { ""GENDER"": 82489 } ,  { ""LOGIN_ID"": 2079 } ,  { ""NAME"": 180188 } ,  { ""PASSPORT"": 34611 } ,  { ""PHONE"": 100094 } ,  { ""SSN"": 82000 } ],  ""cacheHit"": [  { ""ADDRESS"": 145956 } ,  { ""DOB"": 18254 } ,  { ""DRLIC"": 32296 } ,  { ""NAME"": 75411 } ,  { ""PASSPORT"": 16435 } ,  { ""PHONE"": 49091 } ],  ""cacheMiss"": [  { ""ADDRESS"": 174990 } ,  { ""DOB"": 19152 } ,  { ""DRLIC"": 42515 } ,  { ""NAME"": 104777 } ,  { ""PASSPORT"": 18176 } ,  { ""PHONE"": 51003 } ],  ""redoTriggers"": [  { ""ACCT_NUM"": 5 } ,  { ""ADDR_KEY"": 30 } ,  { ""DRLIC"": 30 } ,  { ""ID_KEY"": 15 } ,  { ""LOGIN_ID"": 271 } ,  { ""SEARCH_KEY"": 1230 } ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""ACCT_NUM"": 1 } ,  { ""ADDR_KEY"": 3 } ,  { ""DRLIC"": 18 } ,  { ""ID_KEY"": 3 } ,  { ""LOGIN_ID"": 116 } ,  { ""NAME_KEY"": 42 } ,  { ""SEARCH_KEY"": 139 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 8183 } ,  { ""ADDR_KEY"": 10579 } ,  { ""DRLIC"": 7731 } ,  { ""ID_KEY"": 10552 } ,  { ""LOGIN_ID"": 792 } ,  { ""NAME_KEY"": 10707 } ,  { ""PASSPORT"": 6406 } ,  { ""PHONE"": 9562 } ,  { ""PHONE_KEY"": 8039 } ,  { ""SEARCH_KEY"": 7287 } ,  { ""SSN"": 8932 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": {  ""MISSING_RES_ENT_AND_OKEY"": 1},  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 18,""loader"": 3,""resolver"": 15,""scoring"": 6,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""29.9GB"" },{ ""availableMemory"": ""28.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""23.6GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ { ""cpuUser"": 31.399866 }, { ""cpuSystem"": 3.613056 }, { ""cpuIdle"": 61.353485 }, { ""cpuWait"": 0.006846 }, { ""cpuSoftIrq"": 3.181748 }, { ""cpuSteal"": 0.445000 }] } ] } } }"
