timestamp,message
1676688196405,"2023-02-18 02:43:16,405 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676688196405,"2023-02-18 02:43:16,405 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_sqs_consumer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676688196405,"2023-02-18 02:43:16,405 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676688196421,"2023-02-18 02:43:16,421 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676688196450,"2023-02-18 02:43:16,450 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676688688873,DeadLetter: https://queue.amazonaws.com/511635769224/Ron-perf-35-sqs-dead-letter
1676688688873,Threads: 20
1676688688873,Prefetch: 20
1676688688873,"{ ""workload"": { ""loadedRecords"": 80,  ""addedRecords"": 37,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 85966,  ""retries"": 0,  ""candidates"": 0,  ""actualAmbiguousTest"": 0,  ""cachedAmbiguousTest"": 0,  ""libFeatCacheHit"": 635,  ""libFeatCacheMiss"": 0,  ""resFeatStatCacheHit"": 3543,  ""resFeatStatCacheMiss"": 37,  ""resFeatStatUpdate"": 672,  ""unresolveTest"": 0,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 0,  ""unresolveTriggers"": { ""normalResolve"" : 0,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 0,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 0,  ""multipleResolvableCandidates"" : 0,  ""resolveNewFeatures"" : 0,  ""newFeatureFTypes"": [ ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 0,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":22 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":19 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":16 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":15 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":37 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":37 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":8 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":23 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":25 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 66 } ,  { ""ID_KEY"": 83 } ,  { ""NAME_KEY"": 224 } ,  { ""PHONE_KEY"": 22 } ,  { ""SEARCH_KEY"": 23 } ],  ""scoredPairs"": [ ],  ""cacheHit"": [ ],  ""cacheMiss"": [ ],  ""redoTriggers"": [ ],  ""latchContention"": [ ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [ ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 23 } ,  { ""ADDR_KEY"": 36 } ,  { ""DOB"": 14 } ,  { ""DRLIC"": 19 } ,  { ""ID_KEY"": 34 } ,  { ""LOGIN_ID"": 15 } ,  { ""NAME_KEY"": 37 } ,  { ""PASSPORT"": 16 } ,  { ""PHONE"": 31 } ,  { ""PHONE_KEY"": 22 } ,  { ""SEARCH_KEY"": 17 } ,  { ""SSN"": 25 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 3,""idle"": 18,""sqlExecuting"": 3,""loader"": 0,""resolver"": 3,""scoring"": 0,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""30.8GB"" },{ ""availableMemory"": ""29.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""27.6GB"" },{ ""activeThreads"": 3 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ ] } ] } } }"
1676688688873,"{ ""workload"": { ""loadedRecords"": 5479,  ""addedRecords"": 5397,  ""deletedRecords"": 0,  ""reevaluations"": 0,  ""repairedEntities"": 0,  ""duration"": 2895597,  ""retries"": 2,  ""candidates"": 3029,  ""actualAmbiguousTest"": 0,  ""cachedAmbiguousTest"": 0,  ""libFeatCacheHit"": 111804,  ""libFeatCacheMiss"": 13652,  ""resFeatStatCacheHit"": 575687,  ""resFeatStatCacheMiss"": 21391,  ""resFeatStatUpdate"": 101225,  ""unresolveTest"": 0,  ""abortedUnresolve"": 0,  ""gnrScorersUsed"": 1,  ""unresolveTriggers"": { ""normalResolve"" : 0,  ""update"" : 0,  ""relLink"" : 0,  ""extensiveResolve"" : 0,  ""ambiguousNoResolve"" : 0,  ""ambiguousMultiResolve"" : 0  }, ""reresolveTriggers"": { ""abortRetry"" : 0,  ""unresolveMovement"" : 0,  ""multipleResolvableCandidates"" : 0,  ""resolveNewFeatures"" : 2,  ""newFeatureFTypes"": [  { ""ADDRESS"": 2 } ,  { ""ADDR_KEY"": 1 } ,  { ""DRLIC"": 1 } ,  { ""GENDER"": 1 } ,  { ""ID_KEY"": 1 } ,  { ""NAME"": 2 } ,  { ""NAME_KEY"": 2 } ,  { ""SSN"": 1 } ]  }, ""reresolveSkipped"" : 0,  ""filteredObsFeat"" : 7,  ""expressedFeatureCalls"": [  { ""EFCALL_ID"": 1,""EFUNC_CODE"": ""PHONE_HASHER"", ""numCalls"":3259 } ,  { ""EFCALL_ID"": 2,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":3208 } ,  { ""EFCALL_ID"": 3,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":2132 } ,  { ""EFCALL_ID"": 5,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":2127 } ,  { ""EFCALL_ID"": 7,""EFUNC_CODE"": ""NAME_HASHER"", ""numCalls"":5399 } ,  { ""EFCALL_ID"": 9,""EFUNC_CODE"": ""ADDR_HASHER"", ""numCalls"":5399 } ,  { ""EFCALL_ID"": 10,""EFUNC_CODE"": ""EXPRESS_BOM"", ""numCalls"":1886 } ,  { ""EFCALL_ID"": 14,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":3289 } ,  { ""EFCALL_ID"": 16,""EFUNC_CODE"": ""EXPRESS_ID"", ""numCalls"":3759 } ],  ""expressedFeaturesCreated"": [  { ""ADDR_KEY"": 9783 } ,  { ""ID_KEY"": 12388 } ,  { ""NAME_KEY"": 38617 } ,  { ""PHONE_KEY"": 3259 } ,  { ""SEARCH_KEY"": 4013 } ],  ""scoredPairs"": [  { ""ACCT_NUM"": 1099 } ,  { ""ADDRESS"": 3032 } ,  { ""DOB"": 1656 } ,  { ""DRLIC"": 1125 } ,  { ""GENDER"": 3029 } ,  { ""LOGIN_ID"": 447 } ,  { ""NAME"": 3031 } ,  { ""PASSPORT"": 498 } ,  { ""PHONE"": 1891 } ,  { ""SSN"": 1411 } ],  ""cacheHit"": [  { ""ADDRESS"": 2 } ,  { ""DOB"": 322 } ,  { ""DRLIC"": 27 } ,  { ""NAME"": 367 } ,  { ""PASSPORT"": 2 } ,  { ""PHONE"": 2 } ],  ""cacheMiss"": [  { ""ADDRESS"": 3030 } ,  { ""DOB"": 1334 } ,  { ""DRLIC"": 1098 } ,  { ""NAME"": 2664 } ,  { ""PASSPORT"": 496 } ,  { ""PHONE"": 1889 } ],  ""redoTriggers"": [  { ""DRLIC"": 5 } ,  { ""ID_KEY"": 5 } ],  ""latchContention"": [  { ""DOB"": 2 } ],  ""highContentionFeat"": [ ],  ""highContentionResEnt"": [ ],  ""genericDetect"": [  { ""DRLIC"": 1 } ,  { ""ID_KEY"": 1 } ,  { ""NAME_KEY"": 8 } ],  ""candidateBuilders"": [  { ""ACCT_NUM"": 3290 } ,  { ""ADDR_KEY"": 5355 } ,  { ""DOB"": 2723 } ,  { ""DRLIC"": 3187 } ,  { ""ID_KEY"": 5241 } ,  { ""LOGIN_ID"": 2128 } ,  { ""NAME_KEY"": 5399 } ,  { ""PASSPORT"": 2132 } ,  { ""PHONE"": 4318 } ,  { ""PHONE_KEY"": 3261 } ,  { ""SEARCH_KEY"": 3274 } ,  { ""SSN"": 3761 } ],  ""suppressedCandidateBuilders"": [ ],  ""suppressedScoredFeatureType"": [ ],  ""reducedScoredFeatureType"": [ ],  ""suppressedDisclosedRelationshipDomainCount"":  0 ,  ""CorruptEntityTestDiagnosis"": { },  ""threadState"": { ""active"": 20,""idle"": 1,""sqlExecuting"": 19,""loader"": 8,""resolver"": 10,""scoring"": 0,""dataLatchContention"": 0,""obsEntContention"": 0,""resEntContention"": 0},  ""systemResources"": {  ""initResources"": [ { ""physicalCores"": 4 },{ ""logicalCores"": 4 },{ ""totalMemory"": ""30.8GB"" },{ ""availableMemory"": ""29.8GB"" }],  ""currResources"": [ { ""availableMemory"": ""26.7GB"" },{ ""activeThreads"": 20 },{ ""workerThreads"": 21 }, {  ""systemLoad"": [ { ""cpuUser"": 8.432116 }, { ""cpuSystem"": 0.806340 }, { ""cpuIdle"": 89.519295 }, { ""cpuWait"": 0.008615 }, { ""cpuSoftIrq"": 1.225017 }, { ""cpuSteal"": 0.008615 }] } ] } } }"
