timestamp,message
1676741578522,"2023-02-18 17:32:58,522 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676741578523,"2023-02-18 17:32:58,523 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_simple_redoer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676741578523,"2023-02-18 17:32:58,523 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676741578554,"2023-02-18 17:32:58,554 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676741578639,"2023-02-18 17:32:58,639 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676741878600,Threads: 20
1676741878600,"Processed 1000 redo, 29 records per second"
1676741878600,"Processed 2000 redo, 44 records per second"
1676741878600,"Processed 3000 redo, 41 records per second"
1676741878600,"Processed 4000 redo, 41 records per second"
1676741878600,"Processed 5000 redo, 38 records per second"
