timestamp,message
1676747595514,"2023-02-18 19:13:15,514 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.9 Updated: 2023-02-09"
1676747595515,"2023-02-18 19:13:15,514 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_simple_redoer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1676747595515,"2023-02-18 19:13:15,515 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676747595538,"2023-02-18 19:13:15,537 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-res-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676747595592,"2023-02-18 19:13:15,592 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-perf-35-aurora-senzing-libfeat-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1676747724386,2023-02-18 19:15:24.385 [sz_simple_redoer:140149642118912] ERR: Lock refresh took more than 3 seconds. Cycling back.
1676747896063,Threads: 20
1676747896063,"Processed 1000 redo, 30 records per second"
1676747896063,"Processed 2000 redo, 33 records per second"
1676747896063,"Processed 3000 redo, 13 records per second"
