timestamp,message
1703087830021,"2023-12-20 15:57:10,021 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.10 Updated: 2023-10-05"
1703087830021,"2023-12-20 15:57:10,021 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_simple_redoer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1703087830021,"2023-12-20 15:57:10,021 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-r6id24x-100m-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1703088430947,"2023-12-20 16:07:10,947 senzing-50170004I Governor is checking PostgreSQL Transaction IDs. Host: ron-r6id24x-100m-aurora-senzing-core-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com; Database: G2; Current XID: 531975167 (res_feat_ekey); High watermark XID: 1500000000"
1703088778330,Threads: 20
1703088778330,"Processed 1000 redo, 40 records per second"
1703088778330,"Processed 2000 redo, 56 records per second"
1703088778330,"Processed 3000 redo, 53 records per second"
1703088778330,"Processed 4000 redo, 54 records per second"
1703088778330,"Processed 5000 redo, 56 records per second"
1703088778330,"Processed 6000 redo, 52 records per second"
1703088778330,"Processed 7000 redo, 57 records per second"
