timestamp,message
1719876164664,/app/sz_sqs_consumer.py:17: DeprecationWarning: G2RetryTimeoutExceeded has been deprecated and replaced at runtime with G2RetryTimeoutExceededException. You can modify the code to explicitly use G2RetryTimeoutExceededException and remove this warning.
1719876164664,"  from senzing import G2Engine, G2Exception, G2EngineFlags, G2RetryTimeoutExceeded"
1719876165538,"2024-07-01 23:22:45,538 senzing-50170001I Using governor-postgresql-transaction-id Governor. Version: 1.0.10 Updated: 2023-10-05"
1719876165538,"2024-07-01 23:22:45,538 senzing-50170002I SENZING_GOVERNOR_POSTGRESQL_HIGH_WATERMARK: 1500000000; SENZING_GOVERNOR_INTERVAL: 100000; SENZING_GOVERNOR_POSTGRESQL_LOW_WATERMARK 1200000000; SENZING_GOVERNOR_HINT: sz_sqs_consumer; SENZING_GOVERNOR_LOG_INTERVAL_IN_SECONDS: 600"
1719876165538,"2024-07-01 23:22:45,538 senzing-50170003I Governor monitoring postgresql://senzing:xxxxxxxx@ron-3104-aurora-senzing-cluster.cluster-cpxzlu10bixk.us-east-2.rds.amazonaws.com:5432/G2"
1719876307123,UNHANDLED DATABASE ERROR: ((7:57014ERROR:  canceling statement due to user request ;))
1719876307123,2024-07-01 23:25:07.123 [sql:140044635461376:[23:24::MASTER:KEYLESS:]] CRIT: Exception: 57014ERROR:  canceling statement due to user request
1719876307123,'";"
1719876307123,2024-07-01 23:25:07.123 [sql:140044635461376:[23:24::MASTER:KEYLESS:]] CRIT: Statement: Statement: query = SELECT OBS_ENT_ID FROM OBS_ENT WHERE ENT_SRC_KEY=$1 AND ETYPE_ID=$2 AND DSRC_ID=$3
1719876307123,"2024-07-01 23:25:07.123 [sql:140044635461376:[23:24::MASTER:KEYLESS:]] CRIT: Bind Values: '035D243F5EBC6331EF732653489C798418AC42C4',3,1"
1719876307124,"senzing.G2Exception.G2DatabaseException: 1001E|Critical Database Error '(7:57014ERROR:  canceling statement due to user request ;)' [{""DATA_SOURCE"": ""TEST"", ""SOCIAL_HANDLE"": ""uraemiase"", ""ADDR_STATE"": ""MA"", ""ADDR_POSTAL_CODE"": ""01267"", ""SSN_NUMBER"": ""240-94-7090"", ""NAME_FIRST"": ""JTLIAN"", ""GENDER"": ""F"", ""RECORD_ID"": ""363236874"", ""DSRC_ACTION"": ""A"", ""DRIVERS_LICENSE_STATE"": ""MO"", ""ADDR_CITY"": ""Williamstown"", ""NAME_LAST"": ""MAURO"", ""ADDR_LINE1"": ""84  ST""}]"
