,62120630
+NAME+ADDRESS+PHONE+SSN,1591893
+NAME+PHONE+SSN,1074023
+NAME+ADDRESS+PHONE,1044124
+NAME+ADDRESS+PHONE+SSN+ACCT_NUM,943670
+NAME+DOB+ADDRESS+PHONE+SSN,911551
+NAME+ADDRESS+PHONE+ACCT_NUM,687664
+NAME+ADDRESS+SSN,667457
+NAME+ADDRESS+PHONE+SSN+DRLIC,655966
+NAME+PHONE+SSN+ACCT_NUM,653943
+NAME+PHONE,645833
+NAME+DOB+ADDRESS+PHONE,592757
+NAME+DOB+PHONE+SSN,586326
+NAME+ADDRESS+PHONE+SSN+PASSPORT,519921
+PNAME+ADDRESS+PHONE+SSN,516615
+NAME+ADDRESS+PHONE+DRLIC,479216
+NAME+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,475330
+NAME+PHONE+ACCT_NUM,465282
+NAME+PHONE+SSN+DRLIC,454829
+NAME+SSN,442913
+NAME+DOB+ADDRESS+PHONE+ACCT_NUM,421470
+NAME+ADDRESS+SSN+ACCT_NUM,409331
+NAME+ADDRESS,397454
+PNAME+PHONE+SSN,369229
+NAME+ADDRESS+PHONE+PASSPORT,369119
+NAME+DOB+ADDRESS+SSN,367629
+NAME+PHONE+SSN+PASSPORT,349021
+NAME+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,344730
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC,342061
+NAME+DOB+PHONE+SSN+ACCT_NUM,330177
+NAME+DOB+PHONE,319566
+PNAME+ADDRESS+PHONE+SSN+ACCT_NUM,318283
+NAME+PHONE+DRLIC,316596
+NAME+ADDRESS+PHONE+DRLIC+ACCT_NUM,297556
+NAME+ADDRESS+ACCT_NUM,290501
+NAME+DOB+ADDRESS+PHONE+DRLIC,289848
+PNAME+DOB+ADDRESS+PHONE+SSN,284607
+NAME+ADDRESS+SSN+DRLIC,283323
+NAME+SSN+ACCT_NUM,278244
+NAME+DOB+PHONE+ACCT_NUM,274554
+NAME+DOB+ADDRESS+PHONE+SSN+PASSPORT,274410
+NAME+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,271168
+NAME+PHONE+SSN+DRLIC+ACCT_NUM,245524
+NAME+DOB+SSN,235849
+NAME+ADDRESS+PHONE+PASSPORT+ACCT_NUM,234596
+NAME+PHONE+PASSPORT,233383
+NAME+DOB+ADDRESS+PHONE+PASSPORT,231784
+PNAME+PHONE+SSN+ACCT_NUM,231485
+NAME+DOB+PHONE+SSN+DRLIC,230774
+PNAME+ADDRESS+PHONE+ACCT_NUM,227932
+PNAME+ADDRESS+SSN,227765
+PNAME+ADDRESS+PHONE+SSN+DRLIC,220448
+NAME+ADDRESS+SSN+PASSPORT,218977
+NAME+ACCT_NUM,218292
+NAME+DOB+ADDRESS+SSN+ACCT_NUM,210503
+NAME+DOB+ADDRESS,207535
+NAME+ADDRESS+DRLIC,198057
+NAME+SSN+DRLIC,193733
+PNAME+DOB+PHONE+SSN,192550
+NAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,191090
+NAME+PHONE+SSN+PASSPORT+ACCT_NUM,190521
+PNAME+PHONE+ACCT_NUM,181186
+NAME+DOB+PHONE+SSN+PASSPORT,181128
