,62080292
+NAME+ADDRESS+PHONE+SSN,1588136
+NAME+PHONE+SSN,1074770
+NAME+ADDRESS+PHONE,1051126
+NAME+ADDRESS+PHONE+SSN+ACCT_NUM,942273
+NAME+DOB+ADDRESS+PHONE+SSN,909212
+NAME+ADDRESS+PHONE+ACCT_NUM,685530
+NAME+ADDRESS+SSN,667325
+NAME+PHONE,658223
+NAME+ADDRESS+PHONE+SSN+DRLIC,654784
+NAME+PHONE+SSN+ACCT_NUM,649822
+NAME+DOB+ADDRESS+PHONE,592260
+NAME+DOB+PHONE+SSN,583479
+NAME+ADDRESS+PHONE+SSN+PASSPORT,518380
+PNAME+ADDRESS+PHONE+SSN,517995
+NAME+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,480777
+NAME+ADDRESS+PHONE+DRLIC,477397
+NAME+PHONE+ACCT_NUM,466670
+NAME+PHONE+SSN+DRLIC,452086
+NAME+SSN,447999
+NAME+DOB+ADDRESS+PHONE+ACCT_NUM,418720
+NAME+ADDRESS+SSN+ACCT_NUM,406571
+NAME+ADDRESS,404377
+PNAME+PHONE+SSN,371948
+NAME+ADDRESS+PHONE+PASSPORT,367384
+NAME+DOB+ADDRESS+SSN,365810
+NAME+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,349447
+NAME+PHONE+SSN+PASSPORT,346668
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC,345300
+NAME+DOB+PHONE+SSN+ACCT_NUM,328893
+NAME+DOB+PHONE,322298
+NAME+PHONE+DRLIC,317537
+PNAME+ADDRESS+PHONE+SSN+ACCT_NUM,317378
+NAME+ADDRESS+PHONE+DRLIC+ACCT_NUM,295497
+NAME+ADDRESS+ACCT_NUM,290908
+NAME+DOB+ADDRESS+PHONE+DRLIC,288264
+PNAME+DOB+ADDRESS+PHONE+SSN,284102
+NAME+ADDRESS+SSN+DRLIC,281298
+NAME+SSN+ACCT_NUM,277935
+NAME+DOB+ADDRESS+PHONE+SSN+PASSPORT,276425
+NAME+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,274328
+NAME+DOB+PHONE+ACCT_NUM,272801
+NAME+PHONE+SSN+DRLIC+ACCT_NUM,244521
+NAME+DOB+SSN,236008
+NAME+PHONE+PASSPORT,233737
+NAME+ADDRESS+PHONE+PASSPORT+ACCT_NUM,233349
+PNAME+PHONE+SSN+ACCT_NUM,230731
+NAME+DOB+PHONE+SSN+DRLIC,230223
+NAME+DOB+ADDRESS+PHONE+PASSPORT,229998
+PNAME+ADDRESS+SSN,229323
