,21145172
+NAME+ADDRESS+PHONE+SSN,144537
+NAME+ADDRESS+PHONE,130274
+NAME+PHONE+SSN,127220
+NAME+PHONE,104957
+NAME+ADDRESS+SSN,77314
+NAME+SSN,66696
+NAME+ADDRESS+PHONE+SSN+ACCT_NUM,63580
+NAME+ADDRESS+PHONE+ACCT_NUM,62970
+NAME+ADDRESS,62933
+NAME+DOB+ADDRESS+PHONE+SSN,60659
+PNAME+ADDRESS+PHONE+SSN,57195
+NAME+PHONE+SSN+ACCT_NUM,57171
+NAME+PHONE+ACCT_NUM,56995
+NAME+DOB+ADDRESS+PHONE,53128
+NAME+DOB+PHONE+SSN,51915
+PNAME+PHONE+SSN,49529
+NAME+ADDRESS+PHONE+SSN+DRLIC,43219
+NAME+ADDRESS+PHONE+DRLIC,41915
+NAME+DOB+PHONE,40537
+NAME+PHONE+SSN+DRLIC,38692
+NAME+PHONE+DRLIC,37346
+NAME+ADDRESS+SSN+ACCT_NUM,34798
+NAME+ADDRESS+ACCT_NUM,34546
+NAME+ACCT_NUM,33565
+NAME+ADDRESS+PHONE+SSN+PASSPORT,32852
+NAME+SSN+ACCT_NUM,32588
+NAME+DOB+ADDRESS+SSN,31475
+NAME+ADDRESS+PHONE+PASSPORT,31098
+PNAME+ADDRESS+SSN,30312
+NAME+PHONE+SSN+PASSPORT,29093
+NAME+DOB+SSN,28255
+NAME+PHONE+PASSPORT,26890
+NAME+DOB+ADDRESS+PHONE+ACCT_NUM,26328
+NAME+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,25798
+PNAME+ADDRESS+PHONE+SSN+ACCT_NUM,25623
+PNAME+ADDRESS+PHONE+ACCT_NUM,25362
+NAME+DOB+ADDRESS,25067
+PNAME+PHONE+ACCT_NUM,24981
+PNAME+PHONE+SSN+ACCT_NUM,24046
+NAME+ADDRESS+SSN+DRLIC,23548
+PNAME+DOB+ADDRESS+PHONE+SSN,23352
+NAME+DOB+PHONE+ACCT_NUM,23194
+NAME+ADDRESS+DRLIC,22552
+NAME+DOB+PHONE+SSN+ACCT_NUM,22546
+PNAME+SSN,22391
+NAME+SSN+DRLIC,21905
+PNAME+DOB+PHONE+SSN,20644
+NAME+ADDRESS+PHONE+SSN+LOGIN_ID,19634
+NAME+ADDRESS+PHONE+LOGIN_ID,18992
+NAME+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,18597
+NAME+ADDRESS+PHONE+DRLIC+ACCT_NUM,18157
+NAME+DOB+ADDRESS+PHONE+DRLIC,17885
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC,17829
+NAME+PHONE+SSN+LOGIN_ID,17759
+NAME+ADDRESS+SSN+PASSPORT,17520
+PNAME+ADDRESS+PHONE+SSN+DRLIC,17412
+NAME+PHONE+LOGIN_ID,17190
+NAME+ADDRESS+PASSPORT,16453
+PNAME+PHONE+SSN+DRLIC,16127
+NAME+PHONE+DRLIC+ACCT_NUM,16106
+NAME+SSN+PASSPORT,16044
+NAME+PHONE+SSN+DRLIC+ACCT_NUM,16023
+NAME+DOB+PHONE+SSN+DRLIC,15317
+NAME+DOB,15260
+PNAME+ADDRESS+ACCT_NUM,15056
+NAME+DOB+PHONE+DRLIC,14919
+PNAME+ADDRESS+SSN+ACCT_NUM,14573
+PNAME+SSN+ACCT_NUM,14483
+NAME+ADDRESS+PHONE+PASSPORT+ACCT_NUM,14199
+PNAME+DOB+ADDRESS+PHONE,14181
+NAME+DOB+ADDRESS+ACCT_NUM,13974
+NAME+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,13937
+NAME+DOB+ADDRESS+PHONE+SSN+PASSPORT,13734
+NAME+DOB+ADDRESS+SSN+ACCT_NUM,13702
+NAME+DOB+ADDRESS+PHONE+PASSPORT,13536
+PNAME+ADDRESS+PHONE+SSN+PASSPORT,13049
+NAME+DOB+ACCT_NUM,12886
+NAME+DRLIC,12433
+PNAME+DOB+ADDRESS+SSN,12391
+NAME+PHONE+SSN+PASSPORT+ACCT_NUM,12259
+NAME+DOB+SSN+ACCT_NUM,12247
+NAME+PHONE+PASSPORT+ACCT_NUM,12050
+PNAME+PHONE+SSN+PASSPORT,11692
+NAME+DOB+PHONE+SSN+PASSPORT,11389
+PNAME+ADDRESS+PHONE+PASSPORT,11298
+PNAME+DOB+SSN,11252
+NAME+PASSPORT,11060
+NAME+DOB+PHONE+PASSPORT,11039
+PNAME+ADDRESS+PHONE+DRLIC,10737
+NAME+ADDRESS+SSN+LOGIN_ID,10716
+NAME+ADDRESS+LOGIN_ID,10523
+PNAME+DOB+ADDRESS+PHONE+ACCT_NUM,10505
+PNAME+DOB+ADDRESS+PHONE+SSN+ACCT_NUM,10454
+NAME+LOGIN_ID,10152
+NAME+SSN+LOGIN_ID,9850
+NAME+ADDRESS+SSN+DRLIC+ACCT_NUM,9781
+NAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,9700
+PNAME+ADDRESS+SSN+DRLIC,9697
+PNAME+DOB+PHONE+ACCT_NUM,9671
+NAME+ADDRESS+DRLIC+ACCT_NUM,9537
+NAME+ADDRESS+PHONE+DRLIC+PASSPORT,9429
+PNAME+DOB+PHONE+SSN+ACCT_NUM,9393
+NAME+DOB+ADDRESS+SSN+DRLIC,9311
+NAME+DOB+ADDRESS+DRLIC,9042
+NAME+SSN+DRLIC+ACCT_NUM,8983
+PNAME+PHONE+DRLIC,8961
+NAME+DRLIC+ACCT_NUM,8635
+NAME+ADDRESS+PHONE+LOGIN_ID+ACCT_NUM,8405
+NAME+PHONE+SSN+DRLIC+PASSPORT,8382
+NAME+DOB+SSN+DRLIC,8306
+PNAME+PHONE+PASSPORT,8217
+NAME+PHONE+DRLIC+PASSPORT,8215
+NAME+DOB+ADDRESS+PHONE+LOGIN_ID,8158
+NAME+DOB+DRLIC,8152
+PNAME+SSN+DRLIC,7967
+NAME+DOB+ADDRESS+PHONE+DRLIC+ACCT_NUM,7902
+NAME+ADDRESS+PHONE+SSN+LOGIN_ID+ACCT_NUM,7862
+NAME+DOB+ADDRESS+PHONE+SSN+LOGIN_ID,7788
+PNAME+ADDRESS+PHONE+SSN+LOGIN_ID,7762
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,7712
+PNAME+ADDRESS+PHONE+LOGIN_ID,7627
+NAME+ADDRESS+PASSPORT+ACCT_NUM,7483
+PNAME+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,7471
+NAME+ADDRESS+SSN+PASSPORT+ACCT_NUM,7444
+PNAME+PHONE+SSN+LOGIN_ID,7421
+PNAME+PHONE+LOGIN_ID,7412
+PNAME+ADDRESS+PHONE+DRLIC+ACCT_NUM,7284
+NAME+PHONE+LOGIN_ID+ACCT_NUM,7273
+NAME+DOB+PHONE+LOGIN_ID,7131
+NAME+PHONE+SSN+LOGIN_ID+ACCT_NUM,7078
+NAME+DOB+ADDRESS+SSN+PASSPORT,7076
+PNAME+DOB+ADDRESS+PHONE+SSN+DRLIC,7038
+PNAME+ADDRESS+SSN+PASSPORT,6946
+PNAME+DOB+ADDRESS+PHONE+DRLIC,6879
+NAME+DOB+PHONE+SSN+LOGIN_ID,6758
+NAME+PASSPORT+ACCT_NUM,6675
+PNAME+PHONE+DRLIC+ACCT_NUM,6667
+NAME+SSN+PASSPORT+ACCT_NUM,6663
+PNAME+PHONE+SSN+DRLIC+ACCT_NUM,6628
+NAME+DOB+ADDRESS+PASSPORT,6625
+NAME+DOB+PHONE+DRLIC+ACCT_NUM,6585
+PNAME+SSN+PASSPORT,6437
+NAME+DOB+PHONE+SSN+DRLIC+ACCT_NUM,6329
+NAME+DOB+SSN+PASSPORT,6225
+PNAME+DOB+PHONE+DRLIC,6178
+NAME+DOB+ADDRESS+PHONE+PASSPORT+ACCT_NUM,6125
+PNAME+DOB+PHONE+SSN+DRLIC,6078
+PNAME+DOB+ADDRESS+ACCT_NUM,5890
+PNAME+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,5819
+PNAME+DOB+ADDRESS+SSN+ACCT_NUM,5806
+PNAME+DOB+ACCT_NUM,5793
+NAME+DOB+ADDRESS+PHONE+SSN+PASSPORT+ACCT_NUM,5769
+NAME+ADDRESS+PHONE+DRLIC+LOGIN_ID,5731
+DOB+ADDRESS+PHONE+SSN,5528
+PNAME+ADDRESS+PHONE+PASSPORT+ACCT_NUM,5513
+NAME+ADDRESS+PHONE+SSN+DRLIC+LOGIN_ID,5491
+PNAME+ADDRESS+DRLIC,5472
+NAME+DOB+PASSPORT,5446
+PNAME+DOB+ADDRESS+PHONE+SSN+PASSPORT,5397
+PNAME+DOB+SSN+ACCT_NUM,5353
+PNAME+PHONE+PASSPORT+ACCT_NUM,5114
+PNAME+PHONE+SSN+PASSPORT+ACCT_NUM,5114
+NAME+ADDRESS+SSN+DRLIC+PASSPORT,5107
+PNAME+DOB+ADDRESS+PHONE+PASSPORT,5009
+NAME+ADDRESS+DRLIC+PASSPORT,5009
+PNAME+ADDRESS+PASSPORT,4989
+NAME+DOB+PHONE+PASSPORT+ACCT_NUM,4983
+NAME+PHONE+SSN+DRLIC+LOGIN_ID,4819
+NAME+DOB+PHONE+SSN+PASSPORT+ACCT_NUM,4780
+PNAME+DOB+PHONE+SSN+PASSPORT,4683
+NAME+PHONE+DRLIC+LOGIN_ID,4636
+NAME+ADDRESS+PHONE+DRLIC+PASSPORT+ACCT_NUM,4584
+PNAME+ADDRESS+LOGIN_ID,4538
+PNAME+ADDRESS+SSN+LOGIN_ID,4450
+NAME+SSN+DRLIC+PASSPORT,4441
+NAME+ADDRESS+SSN+LOGIN_ID+ACCT_NUM,4434
+NAME+DOB+ADDRESS+LOGIN_ID,4417
+NAME+ADDRESS+PHONE+PASSPORT+LOGIN_ID,4405
+PNAME+SSN+LOGIN_ID,4298
+NAME+ADDRESS+LOGIN_ID+ACCT_NUM,4281
+NAME+ADDRESS+PHONE+SSN+PASSPORT+LOGIN_ID,4213
+NAME+DOB+ADDRESS+SSN+LOGIN_ID,4213
+NAME+DOB+ADDRESS+PHONE+DRLIC+PASSPORT,4209
+NAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,4165
+PNAME+DOB+PHONE+PASSPORT,4139
+PNAME+ADDRESS+SSN+DRLIC+ACCT_NUM,4118
+NAME+DOB+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,4087
+NAME+SSN+LOGIN_ID+ACCT_NUM,4072
+NAME+DOB+ADDRESS+DRLIC+ACCT_NUM,4052
+PNAME+ADDRESS+DRLIC+ACCT_NUM,3999
+PNAME+SSN+DRLIC+ACCT_NUM,3925
+NAME+DOB+SSN+LOGIN_ID,3854
+NAME+DOB+LOGIN_ID,3841
+PNAME+ADDRESS+PHONE+SSN+DRLIC+PASSPORT,3826
+NAME+DRLIC+PASSPORT,3820
+PNAME+DOB+ADDRESS+SSN+DRLIC,3816
+NAME+LOGIN_ID+ACCT_NUM,3800
+NAME+DOB+ADDRESS+SSN+DRLIC+ACCT_NUM,3792
+NAME+PHONE+SSN+PASSPORT+LOGIN_ID,3745
+PNAME+DOB+ADDRESS+DRLIC,3717
+NAME+PHONE+PASSPORT+LOGIN_ID,3686
+DOB+PHONE+SSN,3621
+PNAME+ADDRESS+PHONE+DRLIC+PASSPORT,3568
+NAME+PHONE+DRLIC+PASSPORT+ACCT_NUM,3546
+PNAME+DOB+SSN+DRLIC,3493
+NAME+DOB+DRLIC+ACCT_NUM,3478
+NAME+DOB+SSN+DRLIC+ACCT_NUM,3442
+NAME+DOB+ADDRESS+PHONE+LOGIN_ID+ACCT_NUM,3439
+NAME+DOB+PHONE+DRLIC+PASSPORT,3438
+NAME+PHONE+SSN+DRLIC+PASSPORT+ACCT_NUM,3399
+PNAME+PHONE+SSN+DRLIC+PASSPORT,3343
+PNAME+ADDRESS+PHONE+SSN+LOGIN_ID+ACCT_NUM,3281
+NAME+DOB+PHONE+SSN+DRLIC+PASSPORT,3264
+PNAME+DOB+ADDRESS+PHONE+SSN+LOGIN_ID,3186
+PNAME+DOB+ADDRESS+PHONE+LOGIN_ID,3179
+PNAME+ADDRESS+SSN+PASSPORT+ACCT_NUM,3125
+PNAME+ADDRESS+PASSPORT+ACCT_NUM,3090
+PNAME+DOB+ADDRESS+PHONE+SSN+DRLIC+ACCT_NUM,3072
+PNAME+ADDRESS+PHONE+LOGIN_ID+ACCT_NUM,3069
+NAME+DOB+ADDRESS+PASSPORT+ACCT_NUM,3054
+PNAME+DOB+ADDRESS+PHONE+DRLIC+ACCT_NUM,2981
